dataset,config,mean_validation_BA,mean_validation_NLL,minimum_fold_BA,id,encoder_lr,downstream_lr,weight_decay
OpenBMI,R1_lr1e-5,0.7190000000000001,0.6106107353927326,0.690625,R1_lr1e-5,1e-05,0.0003,0.01
WBCIC,R1_lr3e-5,0.7539913805136795,0.5267431839896777,0.6940625,R1_lr3e-5,3e-05,0.0003,0.01
