model,type,dataset,BA,NLL,threshold,folds,seeds,competent
CBraMod-R1,FM,OpenBMI,0.726125,0.5878401061907129,0.7519166667,5,3,False
CBraMod-R1,FM,WBCIC,0.7463331588498046,0.5391198446150205,0.7684300821,5,3,False
