model,dataset,config,mean_validation_BA,mean_validation_NLL,minimum_fold_BA,selected_before_outcome
FBCNet,OpenBMI,recipe_a,0.6505,0.6426400146797995,0.618125,True
FBCNet,WBCIC,recipe_a,0.5994276591289782,0.6961511023190579,0.5717729271356784,True
ATCNet,OpenBMI,recipe_a,0.7464999999999999,0.5496595313151167,0.708125,True
ATCNet,WBCIC,recipe_a,0.7926061906756002,0.430301270291004,0.7315625,True
EEGInceptionMI,OpenBMI,recipe_a,0.744125,0.5764013911433967,0.708125,True
EEGInceptionMI,WBCIC,recipe_a,0.6117043551088777,0.6719904352956064,0.590625,True
