dataset,model,task_BA,task_competent,independent_probe_BA,residual_stability,stability_CI_low,stability_CI_high,affinity_improvement,affinity_CI_low,affinity_CI_high,advantage_over_random,advantage_over_random_CI_low,advantage_over_random_CI_high,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,independent_session_3NN_ratio,off_manifold_excess_vs_random,gate_task_competence,gate_independent_probe_competence,gate_residual_stability,gate_subject_fidelity,gate_random_advantage,gate_class_fidelity,gate_manifold,all_admissibility_gates,audit_skipped_reason
OpenBMI,ATCNet,0.7670416666666667,True,0.7529166666666669,0.5541415607180659,0.47661510010254843,0.6264516482970557,0.11723576882492663,0.10556184897951479,0.12858653268683143,0.1625385971623768,0.1480969888137889,0.17755726870257033,8.786231884057973e-05,-8.786231884057973e-05,6.255956114544818e-05,1.19364040381448,-0.02940821256038648,True,True,True,True,True,True,True,True,
WBCIC,ATCNet,0.7859004396984924,True,0.7915391635377554,0.5798488001318847,0.42255782412176857,0.7227658491109429,0.09852890090340778,0.07155574134412375,0.12104781721084437,0.16022168441706927,0.14050117438536366,0.17865483298305507,0.005015271921127937,-0.005015271921127937,0.004023661233744905,1.2735848091933422,-0.061743961352657015,True,True,True,True,True,True,False,False,
OpenBMI,CBraMod-R1,0.726125,False,0.6930833333333333,0.6806957490721446,0.6359099763842225,0.7214564497682847,0.13562326399875613,0.12373726733299488,0.1460867961380738,0.17071471861883966,0.15570517255138985,0.18427842606654282,0.0017433574879227066,-0.0017433574879227066,0.0057063548218779184,1.1267061627077761,-0.00012077294685990288,False,True,True,True,True,True,True,False,
WBCIC,CBraMod-R1,0.7463331588498046,False,0.7375659157279933,0.5668162563364757,0.4501745049066575,0.6750687697205733,0.09507639048212668,0.07510002795382045,0.11403671126275536,0.1306878241229801,0.11078583949663746,0.14949817417002545,0.0006478535799850839,-0.0006478535799850839,-0.000733886209575349,1.150067588324043,-6.03864734299471e-05,False,True,True,True,True,True,True,False,
OpenBMI,EEGInceptionMI,0.7431666666666666,False,,,,,,,,,,,,,,,,,,,,,,,False,SPECIALIST_NOT_COMPETENT
WBCIC,EEGInceptionMI,0.6059908221663874,False,,,,,,,,,,,,,,,,,,,,,,,False,SPECIALIST_NOT_COMPETENT
OpenBMI,FBCNet,0.6567083333333333,False,,,,,,,,,,,,,,,,,,,,,,,False,SPECIALIST_NOT_COMPETENT
WBCIC,FBCNet,0.5956199283454308,False,,,,,,,,,,,,,,,,,,,,,,,False,SPECIALIST_NOT_COMPETENT
