model,type,dataset,fold,seed,BA,NLL,threshold,representation_changed,future_session_used
CBraMod-R1,FM,OpenBMI,0,0,0.745,0.5113597847005513,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,0,1,0.753125,0.5553712305264201,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,0,2,0.769375,0.5132084711733255,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,1,0,0.684375,0.7001445862814958,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,1,1,0.6681250000000001,0.6370211682197205,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,1,2,0.66625,0.644778885837788,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,2,0,0.695625,0.5908058086402351,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,2,1,0.7350000000000001,0.6013626936143892,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,2,2,0.720625,0.6494297438270461,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,3,0,0.739375,0.5527752883963524,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,3,1,0.7581249999999999,0.5852722892087415,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,3,2,0.731875,0.6032099872686493,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,4,0,0.74,0.5409478379754382,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,4,1,0.728125,0.6102651456726669,0.7519166667,True,False
CBraMod-R1,FM,OpenBMI,4,2,0.756875,0.5216486715178741,0.7519166667,True,False
CBraMod-R1,FM,WBCIC,0,0,0.7727777777777778,0.5061046494615932,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,0,1,0.7691666666666667,0.530108138922374,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,0,2,0.7897222222222222,0.4593251694856342,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,1,0,0.6996875,0.6822738128854546,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,1,1,0.6909375,0.6365556350199458,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,1,2,0.691875,0.6214705436348441,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,2,0,0.7308746859296482,0.540649168690547,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,2,1,0.7499261934673367,0.5116644702569999,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,2,2,0.7558888190954773,0.47420851570313177,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,3,0,0.8149340452261307,0.40845303730077304,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,3,1,0.8058699748743718,0.4064960816877327,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,3,2,0.8055527638190955,0.5742227240862956,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,4,0,0.7036400753768844,0.6575868454877665,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,4,1,0.707065012562814,0.5400505062171954,0.7684300821,True,False
CBraMod-R1,FM,WBCIC,4,2,0.7070791457286432,0.5376283703850195,0.7684300821,True,False
