model,terminal,competent_both_datasets,admissible_both_datasets
CBraMod-R1,CBRAMOD_COMPETENCE_NOT_RECOVERED,False,False
ATCNet,SPECIALIST_COMPETENT_NOT_ADMISSIBLE,True,False
EEGInceptionMI,SPECIALIST_NOT_COMPETENT,False,False
FBCNet,SPECIALIST_NOT_COMPETENT,False,False
