epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,lambda_inv_effective_mi,lambda_inv_effective_erp,lambda_inv_effective_ssvep,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7785914702581369,0.7716666666666667,0.6218855218855219,0.9422222222222223,0.40156900220447117,3.49775442370662,3.899323406042876,0.9855034803902661,0.0,0.0,0.0,0.0,20,0.6459726395577483,1.0,9.178121089935303
1,0.778608305274972,0.7666666666666666,0.6252693602693603,0.9438888888888889,0.3944076426603176,3.400510787963867,3.794918422345762,1.0230546406021825,0.0,0.0,0.0,0.0,20,0.6459726395577483,1.0,16.83052396774292
2,0.7799719416386083,0.7694444444444444,0.6288047138047137,0.9416666666666667,0.3981283362264986,3.295947238251015,3.694075553505509,1.1078898906707764,0.0375,0.0225,0.0375,0.0525,20,0.6459726395577483,1.0,24.53308415412903
3,0.7787991021324355,0.7644444444444445,0.6236195286195286,0.9483333333333334,0.3933408773607678,3.2258040021967003,3.6191448679676763,1.1250554709522813,0.075,0.045,0.075,0.105,20,0.6459726395577483,1.0,32.23036336898804
4,0.7809427609427609,0.7677777777777778,0.6367171717171717,0.9383333333333334,0.3911747369501326,3.3767257310726024,3.7679004536734686,1.145245478109077,0.11249999999999999,0.06749999999999999,0.11249999999999999,0.15749999999999997,20,0.7030704791770033,0.5120105727784805,41.98756003379822
5,0.7815151515151516,0.7644444444444445,0.63010101010101,0.95,0.38855320822309564,3.2916293453287193,3.6801825364430747,1.0621458810788613,0.15,0.09,0.15,0.21,20,0.7030704791770033,0.5120105727784805,49.722657918930054
6,0.7790347923681257,0.7572222222222222,0.6321043771043771,0.9477777777777777,0.39579284963784395,3.3127500083711414,3.708542854697616,1.1359903746181064,0.15,0.09,0.15,0.21,20,0.7030704791770033,0.5120105727784805,57.64894509315491
7,0.7803759820426487,0.7661111111111111,0.6266835016835017,0.9483333333333334,0.3910723212692473,3.3333163570474693,3.724388665623135,1.1384796974835572,0.15,0.09,0.15,0.21,20,0.7030704791770033,0.5120105727784805,65.51202034950256
8,0.7792704826038159,0.765,0.6222558922558923,0.9505555555555556,0.39042785156656196,3.6131918651086314,4.003619701774032,1.1084510706089161,0.15,0.09,0.15,0.21,19,0.7152876538043862,0.4619250206785127,75.30546140670776
9,0.7787317620650954,0.7616666666666667,0.6284175084175084,0.9461111111111111,0.3958405123816596,3.496641922880102,3.8924824176011263,1.1293125362307936,0.15,0.09,0.15,0.21,19,0.7152876538043862,0.4619250206785127,83.16135573387146
10,0.7775645342312009,0.765,0.6271380471380471,0.9405555555555556,0.4004458520147536,3.4805170739138567,3.880962919305872,1.214772191312578,0.15,0.09,0.15,0.21,19,0.7152876538043862,0.4619250206785127,90.92499589920044
