run,subject,delta,method_BA,control_BA
fold-0/seed-0,1,0.0,0.77,0.77
fold-0/seed-0,10,-0.0050000000000001155,0.6499999999999999,0.655
fold-0/seed-0,17,-0.010000000000000009,0.67,0.68
fold-0/seed-0,28,0.0,0.945,0.945
fold-0/seed-0,3,0.0050000000000000044,0.91,0.905
fold-0/seed-0,45,-0.015000000000000013,0.875,0.89
fold-0/seed-0,48,-0.0050000000000000044,0.635,0.64
fold-0/seed-0,54,0.0050000000000000044,0.545,0.54
fold-0/seed-0,6,0.0,0.79,0.79
fold-0/seed-1,1,0.010000000000000009,0.77,0.76
fold-0/seed-1,10,0.0,0.75,0.75
fold-0/seed-1,17,-0.010000000000000009,0.675,0.685
fold-0/seed-1,28,0.0050000000000000044,0.955,0.95
fold-0/seed-1,3,0.0,0.905,0.905
fold-0/seed-1,45,0.0,0.875,0.875
fold-0/seed-1,48,-0.010000000000000009,0.565,0.575
fold-0/seed-1,54,0.010000000000000009,0.625,0.615
fold-0/seed-1,6,-0.0050000000000000044,0.815,0.82
fold-1/seed-0,11,-0.015000000000000013,0.62,0.635
fold-1/seed-0,17,-0.06499999999999995,0.66,0.725
fold-1/seed-0,19,0.0050000000000000044,0.76,0.755
fold-1/seed-0,22,0.0050000000000000044,0.74,0.735
fold-1/seed-0,3,-0.0050000000000000044,0.89,0.895
fold-1/seed-0,38,0.010000000000000009,0.71,0.7
fold-1/seed-0,40,0.039999999999999925,0.765,0.7250000000000001
fold-1/seed-0,50,0.0,0.53,0.53
fold-1/seed-0,7,0.010000000000000009,0.685,0.675
fold-1/seed-1,11,-0.015000000000000013,0.64,0.655
fold-1/seed-1,17,-0.020000000000000018,0.69,0.71
fold-1/seed-1,19,0.0050000000000000044,0.8,0.795
fold-1/seed-1,22,0.020000000000000018,0.73,0.71
fold-1/seed-1,3,-0.010000000000000009,0.88,0.89
fold-1/seed-1,38,0.02499999999999991,0.71,0.685
fold-1/seed-1,40,-0.050000000000000044,0.7,0.75
fold-1/seed-1,50,0.0050000000000000044,0.52,0.515
fold-1/seed-1,7,0.020000000000000018,0.645,0.625
fold-2/seed-0,14,0.0,0.61,0.61
fold-2/seed-0,16,0.015000000000000013,0.775,0.76
fold-2/seed-0,17,0.0050000000000000044,0.735,0.73
fold-2/seed-0,25,0.0050000000000001155,0.8500000000000001,0.845
fold-2/seed-0,30,0.0050000000000000044,0.705,0.7
fold-2/seed-0,49,0.0,0.75,0.75
fold-2/seed-0,5,-0.0050000000000001155,0.855,0.8600000000000001
fold-2/seed-0,6,0.0,0.8400000000000001,0.8400000000000001
fold-2/seed-0,9,0.0,0.7849999999999999,0.7849999999999999
fold-2/seed-1,14,0.0050000000000000044,0.64,0.635
fold-2/seed-1,16,-0.050000000000000044,0.715,0.765
fold-2/seed-1,17,-0.0050000000000000044,0.675,0.68
fold-2/seed-1,25,0.0050000000000001155,0.8200000000000001,0.815
fold-2/seed-1,30,-0.014999999999999902,0.77,0.7849999999999999
fold-2/seed-1,49,0.040000000000000036,0.73,0.69
fold-2/seed-1,5,-0.009999999999999898,0.785,0.7949999999999999
fold-2/seed-1,6,-0.010000000000000009,0.81,0.8200000000000001
fold-2/seed-1,9,-0.0050000000000001155,0.835,0.8400000000000001
