run,model,raw_BA,protected_ablation_BA,protected_drop,random_ablation_BA_mean,random_ablation_BA_std,random_drop_mean,n_random_subspaces,protected_rank
fold-0/seed-0,method,0.7544444444444445,0.6238888888888889,0.13055555555555554,0.7385555555555555,0.023923360142208853,0.015888888888888952,20,4
fold-0/seed-0,control,0.7572222222222222,0.6233333333333333,0.13388888888888895,0.7355833333333334,0.022697334237339006,0.021638888888888874,20,4
fold-0/seed-1,method,0.7705555555555555,0.6372222222222222,0.1333333333333333,0.7053055555555554,0.03855270362490968,0.06525000000000014,20,7
fold-0/seed-1,control,0.7705555555555555,0.6333333333333333,0.13722222222222225,0.7090277777777778,0.030803977516940848,0.06152777777777774,20,7
fold-1/seed-0,method,0.7066666666666667,0.5977777777777777,0.10888888888888892,0.6645277777777778,0.01855861169110542,0.04213888888888884,20,7
fold-1/seed-0,control,0.7083333333333333,0.6111111111111112,0.0972222222222221,0.6464444444444444,0.024632734418620114,0.06188888888888888,20,7
fold-1/seed-1,method,0.7016666666666667,0.5616666666666668,0.1399999999999999,0.6685833333333333,0.031010987200676052,0.03308333333333335,20,4
fold-1/seed-1,control,0.7038888888888889,0.5805555555555556,0.1233333333333333,0.652638888888889,0.030296821228360082,0.05124999999999991,20,4
fold-2/seed-0,method,0.7672222222222222,0.6222222222222222,0.14500000000000002,0.6864444444444445,0.03075962160020267,0.08077777777777773,20,8
fold-2/seed-0,control,0.7644444444444445,0.6216666666666667,0.14277777777777778,0.6913888888888888,0.019378857640655438,0.07305555555555565,20,8
fold-2/seed-1,method,0.7533333333333334,0.6072222222222222,0.1461111111111112,0.6589166666666666,0.03970628079495612,0.09441666666666682,20,8
fold-2/seed-1,control,0.7583333333333333,0.5888888888888889,0.1694444444444444,0.6771111111111112,0.036037788808724415,0.08122222222222208,20,8
