epoch,loss,macro_f1,balanced_accuracy
1,1.3863162931643034,0.17043794613932564,0.2682587857277298
2,1.3832807227184898,0.1975609443052131,0.24546009115108494
3,1.3742389678955078,0.2073559409363186,0.2633617676319539
4,1.357921954832579,0.22819991444307933,0.25129819714447044
5,1.3280095708997626,0.20242981365515497,0.23971777446156325
6,1.2787249715704667,0.2352474466051074,0.2519216678766368
7,1.2073044494578713,0.21972367201221962,0.23824816487859962
8,1.1382158226088475,0.24482869870643625,0.2488858191497943
9,1.0712935689248537,0.2274591523047377,0.23032202011239278
10,0.9962605222275382,0.23984614471124313,0.24472234545992308
11,0.9403326887833444,0.21968414034472508,0.2268324325777742
