version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8049999999999999,0.8035714285714286,0.0014285714285713347,1,1,17.793649196624756
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714457,1,0,18.35861039161682
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8528571428571429,0.8507142857142858,0.002142857142857113,11,7,44.300814151763916
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8642857142857143,0.8642857142857143,0.0,9,13,49.549843549728394
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['15', '53', '26', '9', '24', '27']",28,6,0.7908333333333333,0.7975,-0.00666666666666671,9,11,42.03496170043945
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8042857142857143,0.8035714285714286,0.0007142857142856673,1,1,13.392045974731445
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714457,1,0,13.519716739654541
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8507142857142858,0.8507142857142858,0.0,4,7,24.48496961593628
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8642857142857143,0.8635714285714285,0.0007142857142857784,6,4,22.660496950149536
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['15', '53', '26', '9', '24', '27']",28,6,0.7866666666666666,0.7975,-0.010833333333333361,11,11,33.16991972923279
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8028571428571429,0.8035714285714286,-0.0007142857142856673,1,1,13.14374041557312
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714457,1,0,13.477156162261963
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8492857142857143,0.8507142857142858,-0.0014285714285714457,2,7,24.63011598587036
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8635714285714287,0.8635714285714285,1.1102230246251565e-16,4,4,18.90055799484253
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,4,"['15', '53', '26', '9', '24', '27']",28,6,0.7849999999999999,0.7975,-0.012500000000000067,9,11,33.46688914299011
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,0,"['21', '54', '23', '12', '51', '29', '13']",27,7,0.8021428571428572,0.8035714285714286,-0.0014285714285714457,1,1,13.532294750213623
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,1,"['34', '44', '28', '52', '30', '2', '4']",27,7,0.8057142857142857,0.8042857142857143,0.0014285714285714457,1,0,13.384555101394653
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,2,"['20', '41', '36', '46', '37', '32', '49']",27,7,0.8500000000000001,0.8507142857142858,-0.0007142857142856673,2,7,24.672057151794434
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,3,"['8', '14', '31', '18', '33', '47', '39']",27,7,0.8635714285714287,0.8635714285714285,1.1102230246251565e-16,4,4,18.8394832611084
