subject,method_BA,control_BA,delta_BA
11,0.635,0.64,-0.0050000000000000044
17,0.6950000000000001,0.7,-0.004999999999999893
19,0.795,0.795,0.0
22,0.735,0.715,0.020000000000000018
3,0.88,0.885,-0.0050000000000000044
38,0.68,0.685,-0.0050000000000000044
40,0.73,0.74,-0.010000000000000009
50,0.52,0.52,0.0
7,0.61,0.625,-0.015000000000000013
