fold,seed,protected_block_id,group_id,control_id,coordinate_ids,alpha,identity_ce,identity_skill,continuous_ID_drop,top1_ID_BA,correct_subject_margin,retrieval_margin,drop_se,drop_lcb95,drop_ucb95,n_subjects,outer_test_used,outer_membership_enumerated
0,0,5,P,P,"[12, 13, 14, 15]",0.0,3.3873715470838723,0.1389889775322892,0.0,0.3973529411764706,0.1464020174793598,0.546777232801835,0.013415133464004634,-0.026293661589449083,0.026293661589449083,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.02,3.387371547026053,0.13898897759010903,-5.7819832255390224e-11,0.3973529411764706,0.14640201753573484,0.5480035847097087,0.013415133430238325,-0.02629366158108695,0.026293661465447284,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.04,3.3873715470139656,0.13898897760219586,-6.990666379103061e-11,0.3973529411764706,0.14640201754875481,0.5492197954611832,0.013415133421718873,-0.026293661576475655,0.026293661436662327,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.06,3.3873715470392707,0.13898897757689105,-4.46018499911105e-11,0.3973529411764706,0.1464020175227394,0.5504253385815958,0.013415133431035396,-0.026293661569431224,0.026293661480227524,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.08,3.3873715470493746,0.13898897756678663,-3.449743268824079e-11,0.3973529411764706,0.14640201751140192,0.551619678493089,0.013415133429880379,-0.026293661557062975,0.02629366148806811,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.1,3.38737154706722,0.13898897754894152,-1.665231841307957e-11,0.3973529411764706,0.1464020174929089,0.5528022706304185,0.013415133432320045,-0.026293661543999605,0.02629366151069497,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.12,3.3873715470551735,0.13898897756098844,-2.869923743098468e-11,0.3973529411764706,0.14640201750534365,0.553972561567252,0.013415133429543568,-0.02629366155060463,0.026293661493206156,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.14,3.387371547024537,0.1389889775916247,-5.933550872860849e-11,0.3973529411764706,0.14640201753934834,0.5551299891529533,0.013415133430440117,-0.02629366158299814,0.02629366146432712,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.16,3.387371546992184,0.1389889776239774,-9.16882125778784e-11,0.3973529411764706,0.14640201757139795,0.5562739826599198,0.013415133427981979,-0.02629366161053289,0.026293661427156466,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.18,3.3873715470563184,0.13898897755984316,-2.7553959114356985e-11,0.3973529411764706,0.1464020175048052,0.5574039629416427,0.013415133425437018,-0.026293661541410513,0.026293661486302595,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.2,3.3873715470181796,0.1389889775979818,-6.56925902564609e-11,0.3973529411764706,0.14640201754493093,0.5585193426018039,0.013415133431872133,-0.02629366159216197,0.02629366146077679,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.22,3.3873715470223997,0.13898897759376155,-6.147235498410453e-11,0.3973529411764706,0.14640201753944826,0.5596195261749247,0.013415133434091795,-0.026293661592292274,0.026293661469347564,34,False,False
0,0,5,P,P,"[12, 13, 14, 15]",0.24,3.3873715470613437,0.13898897755481782,-2.252861786011806e-11,0.3973529411764706,0.14640201749991044,0.560703910319339,0.013415133430339005,-0.026293661545993066,0.02629366150093583,34,False,False
