fold,seed,protected_block_id,protected_coordinate_ids,rank,all_protected_block_ids,outer_test_used,outer_membership_enumerated
0,0,5,"[12, 13, 14, 15]",4,[5],False,False
0,1,5,"[13, 14, 15, 16]",4,"[5, 6]",False,False
0,1,6,"[17, 18, 19]",3,"[5, 6]",False,False
1,0,4,"[9, 10, 11, 12]",4,"[4, 6]",False,False
1,0,6,"[17, 18, 19]",3,"[4, 6]",False,False
1,1,4,"[9, 10, 11, 12]",4,[4],False,False
2,0,5,"[12, 13, 14, 15]",4,"[5, 6]",False,False
2,0,6,"[16, 17, 18, 19]",4,"[5, 6]",False,False
2,1,5,"[8, 9, 10, 11]",4,"[5, 6]",False,False
2,1,6,"[12, 13, 14, 15]",4,"[5, 6]",False,False
