fold,seed,task,block,directions,rank,persistence_strength,raw_utility_CE,raw_BA_drop,random_draws,random_mean_utility_CE,random_std_utility_CE,random_percentile_utility_CE,calibrated_utility_CE,calibrated_BA_drop,inner_fit_subjects,inner_eval_subjects,probe_refit_after_intervention,task_base_risk_CE,task_base_BA
0,0,mi,0,"[0, 1, 2, 3, 4, 5]",6,0.5838025212287903,0.0050204572010155,0.0028631442074465,100,0.0387606198063053,0.0178086391585366,0.02,-0.0337401626052898,-0.048014136514049,"['4', '5', '7', '8', '9', '11', '12', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26']","['27', '29', '30', '31', '34', '35', '37', '38', '39', '41', '42', '43', '44', '46', '49', '51', '52']",True,0.522490083840981,0.801597025997516
0,0,mi,1,"[6, 7, 8, 9, 10, 11, 12]",7,0.2109980583190918,0.0234055816048474,0.0156743600643476,100,0.0395054578405971,0.0202677434961469,0.24,-0.0160998762357497,-0.0380650229635002,"['4', '5', '7', '8', '9', '11', '12', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26']","['27', '29', '30', '31', '34', '35', '37', '38', '39', '41', '42', '43', '44', '46', '49', '51', '52']",True,0.522490083840981,0.801597025997516
0,0,mi,2,"[13, 14, 15, 16, 17, 18, 19]",7,0.0503641255199909,0.098045218683584,0.1355763380093854,100,0.0166864326171168,0.0085917442861004,1.0,0.0813587860664672,0.1221029314929192,"['4', '5', '7', '8', '9', '11', '12', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26']","['27', '29', '30', '31', '34', '35', '37', '38', '39', '41', '42', '43', '44', '46', '49', '51', '52']",True,0.522490083840981,0.801597025997516
0,1,mi,0,"[0, 1, 2, 3, 4, 5]",6,0.6122843027114868,0.0019395859414503,0.006251736593498,100,0.0430644083497003,0.0167348098889983,0.0,-0.0411248224082499,-0.0543534315087524,"['4', '5', '7', '8', '9', '11', '12', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26']","['27', '29', '30', '31', '34', '35', '37', '38', '39', '41', '42', '43', '44', '46', '49', '51', '52']",True,0.5182196496767355,0.8223256460127812
0,1,mi,1,"[6, 7, 8, 9, 10, 11, 12]",7,0.2175786048173904,0.026289452394129,0.0432064462350652,100,0.0464456685879899,0.0249453498363086,0.25,-0.0201562161938608,-0.0305365379272019,"['4', '5', '7', '8', '9', '11', '12', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26']","['27', '29', '30', '31', '34', '35', '37', '38', '39', '41', '42', '43', '44', '46', '49', '51', '52']",True,0.5182196496767355,0.8223256460127812
0,1,mi,2,"[13, 14, 15, 16, 17, 18, 19]",7,0.068092867732048,0.1012507427796599,0.1558210614059461,100,0.0131986184405025,0.0051616748054504,1.0,0.0880521243391574,0.135053903862184,"['4', '5', '7', '8', '9', '11', '12', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26']","['27', '29', '30', '31', '34', '35', '37', '38', '39', '41', '42', '43', '44', '46', '49', '51', '52']",True,0.5182196496767355,0.8223256460127812
1,0,mi,0,"[0, 1, 2, 3, 4, 5]",6,0.6352160573005676,-0.0021494919709316,-0.0093842717605093,100,0.059822090744582,0.0173138037624283,0.0,-0.0619715827155137,-0.0888682201553488,"['2', '4', '8', '9', '12', '13', '14', '15', '18', '20', '21', '23', '24', '26', '27', '28', '29']","['30', '31', '32', '33', '34', '36', '37', '39', '41', '44', '46', '47', '49', '51', '52', '53', '54']",True,0.5036194849084249,0.8221322132213221
1,0,mi,1,"[6, 7, 8, 9, 10, 11, 12]",7,0.2121476829051971,0.0837136519104332,0.0972013868053471,100,0.0153835539731607,0.0079088094327931,1.0,0.0683300979372725,0.0719213588025469,"['2', '4', '8', '9', '12', '13', '14', '15', '18', '20', '21', '23', '24', '26', '27', '28', '29']","['30', '31', '32', '33', '34', '36', '37', '39', '41', '44', '46', '47', '49', '51', '52', '53', '54']",True,0.5036194849084249,0.8221322132213221
1,0,mi,2,"[13, 14, 15, 16, 17, 18, 19]",7,0.054878395050764,0.0398493753654599,0.0678901223455678,100,0.0425846347187142,0.0198069130932708,0.48,-0.0027352593532542,0.016122612261226,"['2', '4', '8', '9', '12', '13', '14', '15', '18', '20', '21', '23', '24', '26', '27', '28', '29']","['30', '31', '32', '33', '34', '36', '37', '39', '41', '44', '46', '47', '49', '51', '52', '53', '54']",True,0.5036194849084249,0.8221322132213221
1,1,mi,0,"[0, 1, 2, 3, 4, 5]",6,0.6711568236351013,0.0044803548452539,0.0052532833020637,100,0.0496674394447552,0.0357680831541819,0.04,-0.0451870845995012,-0.0652985199082759,"['2', '4', '8', '9', '12', '13', '14', '15', '18', '20', '21', '23', '24', '26', '27', '28', '29']","['30', '31', '32', '33', '34', '36', '37', '39', '41', '44', '46', '47', '49', '51', '52', '53', '54']",True,0.518379373795512,0.801396706274755
