subject,method_BA,control_BA,delta_BA
1,0.77,0.77,0.0
10,0.6599999999999999,0.655,0.004999999999999893
17,0.665,0.67,-0.0050000000000000044
28,0.9450000000000001,0.9450000000000001,0.0
3,0.915,0.915,0.0
45,0.875,0.875,0.0
48,0.635,0.635,0.0
54,0.545,0.545,0.0
6,0.7849999999999999,0.7849999999999999,0.0
