version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,max_epochs,early_stopping_patience,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,median_pair_epoch,stage1_rank
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,24,5,0.8365952380952381,0.8355714285714285,0.00102380952380956,0.0007206069500200948,4,0,0,0,4
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,24,5,0.8373333333333333,0.8355714285714285,0.0017619047619047868,0.001152735089229543,4,0,0,0,3
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,24,5,0.8377857142857144,0.8355714285714285,0.0022142857142857684,0.0012037356818823382,5,0,0,0,1
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,24,5,0.8386428571428572,0.8368571428571429,0.0017857142857143238,0.001807015805810546,4,2,2,2,2
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,24,5,0.8384761904761906,0.8369047619047618,0.0015714285714285348,0.001884415136896095,3,2,2,2,1
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,24,5,0.8377857142857144,0.8358571428571426,0.0019285714285714795,0.0014914723584158055,4,0,2,1,1
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,24,5,0.8379047619047618,0.8369047619047618,0.0009999999999999564,0.0009689042833035723,3,2,2,2,1
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,24,5,0.8377857142857144,0.8355714285714285,0.0022142857142857684,0.0012037356818823382,5,0,0,0,1
V2,V2__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,24,5,0.8384761904761906,0.8369047619047618,0.0015714285714285348,0.001884415136896095,3,2,2,2,2
V2,V2__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,24,5,0.8386428571428572,0.837142857142857,0.0015000000000000347,0.0020503857277725285,3,2,4,3,2
V2,V2__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,24,5,0.8384761904761906,0.8369047619047618,0.0015714285714285348,0.001884415136896095,3,2,2,2,2
V2,V2__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,24,5,0.8386428571428572,0.8368571428571429,0.0017857142857143238,0.001807015805810546,4,2,2,2,2
