task,fold,path,file_sha256,mean_std_sha256,training_subjects,source_sessions,train_only_frozen
OpenBMI_MI,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold0.npz,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,"[""1"", ""2"", ""7"", ""10"", ""16"", ""20"", ""21"", ""22"", ""23"", ""27"", ""28"", ""30"", ""31"", ""34"", ""35"", ""40"", ""41"", ""43"", ""44"", ""45"", ""46"", ""48"", ""49"", ""50"", ""52"", ""53""]",[1],True
OpenBMI_MI,1,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold1.npz,2dcccf19c978071b433212549388d9fa8a43224eec3dbb980ccdee27af1de9db,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,"[""3"", ""5"", ""6"", ""7"", ""9"", ""10"", ""16"", ""19"", ""20"", ""21"", ""22"", ""23"", ""27"", ""30"", ""32"", ""33"", ""34"", ""38"", ""41"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""53""]",[1],True
OpenBMI_MI,2,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold2.npz,2d746d812678d332f4771d21ce01123ddd5e32aa0fb569c5064b7691df0fa7e6,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,"[""2"", ""3"", ""7"", ""9"", ""10"", ""15"", ""16"", ""19"", ""20"", ""21"", ""22"", ""26"", ""27"", ""28"", ""31"", ""32"", ""33"", ""34"", ""38"", ""40"", ""41"", ""43"", ""44"", ""47"", ""49"", ""53""]",[1],True
OpenBMI_MI,3,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold3.npz,040fc77f68d09d091af77dda00d1a472e30e1a7c1292f2f9bd136630069a6569,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,"[""1"", ""2"", ""3"", ""5"", ""6"", ""7"", ""9"", ""11"", ""15"", ""20"", ""21"", ""23"", ""26"", ""28"", ""30"", ""31"", ""33"", ""38"", ""40"", ""41"", ""44"", ""47"", ""48"", ""50"", ""52"", ""53""]",[1],True
OpenBMI_MI,4,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_mi_fold4.npz,c04fbdc0d215369e977dffa0c159801dd8fbf42e82538b262c3b254498e56b1f,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,"[""1"", ""2"", ""3"", ""5"", ""6"", ""8"", ""10"", ""14"", ""16"", ""19"", ""22"", ""23"", ""26"", ""27"", ""28"", ""30"", ""31"", ""32"", ""33"", ""35"", ""40"", ""43"", ""45"", ""47"", ""49"", ""50""]",[1],True
OpenBMI_ERP,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold0.npz,157ab9a161f64861f1eb4db5fa530988c5f3ff7689c0fc2ba62374476ed4a9ee,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,"[""1"", ""2"", ""7"", ""10"", ""16"", ""20"", ""21"", ""22"", ""23"", ""27"", ""28"", ""30"", ""31"", ""34"", ""35"", ""40"", ""41"", ""43"", ""44"", ""45"", ""46"", ""48"", ""49"", ""50"", ""52"", ""53""]",[1],True
OpenBMI_ERP,1,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold1.npz,24f7a1e037c0eca04ff78d27016e206247a8a946f1272e017bbc121f2e0d4045,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,"[""3"", ""5"", ""6"", ""7"", ""9"", ""10"", ""16"", ""19"", ""20"", ""21"", ""22"", ""23"", ""27"", ""30"", ""32"", ""33"", ""34"", ""38"", ""41"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""53""]",[1],True
OpenBMI_ERP,2,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold2.npz,d5f7ca145b87d0a478fb0ca36e5e7a777d712c79a7119634a6343cbd39bcf225,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,"[""2"", ""3"", ""7"", ""9"", ""10"", ""15"", ""16"", ""19"", ""20"", ""21"", ""22"", ""26"", ""27"", ""28"", ""31"", ""32"", ""33"", ""34"", ""38"", ""40"", ""41"", ""43"", ""44"", ""47"", ""49"", ""53""]",[1],True
OpenBMI_ERP,3,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold3.npz,5821e8c7ef69d9aff8440c3cbf6966e726b98e08599c3d45ed7a3afaae56c870,0c2673978377de33dbdc9eec11e75acf70a690be484d67dc44af2b17c4ad8341,"[""1"", ""2"", ""3"", ""5"", ""6"", ""7"", ""9"", ""11"", ""15"", ""20"", ""21"", ""23"", ""26"", ""28"", ""30"", ""31"", ""33"", ""38"", ""40"", ""41"", ""44"", ""47"", ""48"", ""50"", ""52"", ""53""]",[1],True
OpenBMI_ERP,4,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_erp_fold4.npz,6e42f76db49d66b0397ae56932e7570f022ef1cc147f2fba45c004c15421ac36,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,"[""1"", ""2"", ""3"", ""5"", ""6"", ""8"", ""10"", ""14"", ""16"", ""19"", ""22"", ""23"", ""26"", ""27"", ""28"", ""30"", ""31"", ""32"", ""33"", ""35"", ""40"", ""43"", ""45"", ""47"", ""49"", ""50""]",[1],True
OpenBMI_SSVEP,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold0.npz,8b87a52a8f24f8c1a54be04b246ee89940af491206239c8450fa3d992ec2e894,ee5e5751bdcf139783ff744897d821bf571b82584eb02518b105d673d9c906a2,"[""1"", ""2"", ""7"", ""10"", ""16"", ""20"", ""21"", ""22"", ""23"", ""27"", ""28"", ""30"", ""31"", ""34"", ""35"", ""40"", ""41"", ""43"", ""44"", ""45"", ""46"", ""48"", ""49"", ""50"", ""52"", ""53""]",[1],True
OpenBMI_SSVEP,1,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold1.npz,0a6c3470fb47219953f0463b1b71fd52e1a83b893e8287d2cd889d5504961afb,3ccca7591e0a73b37af6be0cd7a48c06ad58b0690e9e045892cf121dc791498b,"[""3"", ""5"", ""6"", ""7"", ""9"", ""10"", ""16"", ""19"", ""20"", ""21"", ""22"", ""23"", ""27"", ""30"", ""32"", ""33"", ""34"", ""38"", ""41"", ""45"", ""46"", ""47"", ""48"", ""49"", ""50"", ""53""]",[1],True
OpenBMI_SSVEP,2,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold2.npz,2cf3d93d2dbbd20c388ecc03d41b33867ea12910a767f615301721da7e989500,65457744184c97f7501093f7f0ae77803c77c55c76221e4319732fe46e157686,"[""2"", ""3"", ""7"", ""9"", ""10"", ""15"", ""16"", ""19"", ""20"", ""21"", ""22"", ""26"", ""27"", ""28"", ""31"", ""32"", ""33"", ""34"", ""38"", ""40"", ""41"", ""43"", ""44"", ""47"", ""49"", ""53""]",[1],True
OpenBMI_SSVEP,3,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold3.npz,5de151ef256588f67ce9b022f53352da1103a16dc00e30dfc67c540377e9a0ea,23fc006691b42bd16828108fc89922654fa7567a759b789614a5642702113b52,"[""1"", ""2"", ""3"", ""5"", ""6"", ""7"", ""9"", ""11"", ""15"", ""20"", ""21"", ""23"", ""26"", ""28"", ""30"", ""31"", ""33"", ""38"", ""40"", ""41"", ""44"", ""47"", ""48"", ""50"", ""52"", ""53""]",[1],True
OpenBMI_SSVEP,4,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/openbmi_ssvep_fold4.npz,a6d450f79a67753b82b934a01a5c0e726e68f69a0d3a20949440ee73b446376d,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,"[""1"", ""2"", ""3"", ""5"", ""6"", ""8"", ""10"", ""14"", ""16"", ""19"", ""22"", ""23"", ""26"", ""27"", ""28"", ""30"", ""31"", ""32"", ""33"", ""35"", ""40"", ""43"", ""45"", ""47"", ""49"", ""50""]",[1],True
WBCIC_MI,0,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold0.npz,be79e4d13d12f509ab6f95c8294686a0ec1f5bbf268ea5435b93f7253e3a2778,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,"[""sub-1"", ""sub-5"", ""sub-7"", ""sub-12"", ""sub-13"", ""sub-23"", ""sub-26"", ""sub-27"", ""sub-29"", ""sub-30"", ""sub-32"", ""sub-34"", ""sub-36"", ""sub-37"", ""sub-41"", ""sub-45"", ""sub-47"", ""sub-48"", ""sub-50""]","[0, 1]",True
WBCIC_MI,1,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold1.npz,0f98f389f4c681a10af051f2876130187fad37501dfd942e64ff764820f0e2dc,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,"[""sub-5"", ""sub-6"", ""sub-9"", ""sub-11"", ""sub-14"", ""sub-16"", ""sub-18"", ""sub-22"", ""sub-23"", ""sub-26"", ""sub-27"", ""sub-29"", ""sub-32"", ""sub-34"", ""sub-35"", ""sub-36"", ""sub-41"", ""sub-48"", ""sub-49"", ""sub-50""]","[0, 1]",True
WBCIC_MI,2,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold2.npz,c50ff7eae26bf6476c9f6b57134891adc485451ff17b5105ae756c337e1c3a5b,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,"[""sub-5"", ""sub-6"", ""sub-7"", ""sub-9"", ""sub-11"", ""sub-12"", ""sub-16"", ""sub-18"", ""sub-22"", ""sub-24"", ""sub-26"", ""sub-27"", ""sub-28"", ""sub-29"", ""sub-35"", ""sub-36"", ""sub-37"", ""sub-41"", ""sub-44"", ""sub-49""]","[0, 1]",True
WBCIC_MI,3,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold3.npz,737b7d011441a2d1dd426fb07b7b373f3b3b69909de87ca59853d84f235c09b5,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,"[""sub-5"", ""sub-6"", ""sub-7"", ""sub-12"", ""sub-16"", ""sub-22"", ""sub-23"", ""sub-27"", ""sub-28"", ""sub-30"", ""sub-32"", ""sub-34"", ""sub-35"", ""sub-36"", ""sub-37"", ""sub-41"", ""sub-44"", ""sub-45"", ""sub-48"", ""sub-49""]","[0, 1]",True
WBCIC_MI,4,/root/rivermind-data/litebn_x_singlemodel_seed0_runtime/normalizers/wbcic_mi_fold4.npz,6fa138b8416b6a2609eab8a668a705cd913cf5694bbd5e5eb648bbe2e87c010d,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,"[""sub-1"", ""sub-6"", ""sub-7"", ""sub-9"", ""sub-11"", ""sub-12"", ""sub-14"", ""sub-22"", ""sub-23"", ""sub-24"", ""sub-26"", ""sub-28"", ""sub-29"", ""sub-32"", ""sub-35"", ""sub-37"", ""sub-45"", ""sub-47"", ""sub-49"", ""sub-50""]","[0, 1]",True
