dataset,seed,outer_fold,alpha,action_count,observed_action_count,delta_effective,estimated_q,csr,full_set_fallback,positive_benefit_certification_rate,joint_validity,average_set_size,safe_oracle_headroom_captured
eegmmidb,0,0,0.1,2,3,0.1,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,3,3,0.1,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,5,3,0.06000000000000001,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,3,0.030000000000000006,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.2,2,3,0.1,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.2,3,3,0.1,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.2,5,3,0.06000000000000001,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.2,10,3,0.030000000000000006,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,1,0.1,2,3,0.1,1.08329764003797,0.2222222222222222,0.7777777777777778,0.0,1.0,3.946296296296296,0.0
eegmmidb,0,1,0.1,3,3,0.1,1.08329764003797,0.2222222222222222,0.7777777777777778,0.0,1.0,3.946296296296296,0.0
eegmmidb,0,1,0.1,5,3,0.06000000000000001,1.08329764003797,0.2222222222222222,0.7777777777777778,0.0,1.0,3.946296296296296,0.0
eegmmidb,0,1,0.1,10,3,0.030000000000000006,1.08329764003797,0.2222222222222222,0.7777777777777778,0.0,1.0,3.946296296296296,0.0
eegmmidb,0,1,0.2,2,3,0.1,1.046634833605266,0.7777777777777778,0.2222222222222222,0.0,1.0,3.757407407407408,0.0
eegmmidb,0,1,0.2,3,3,0.1,1.046634833605266,0.7777777777777778,0.2222222222222222,0.0,1.0,3.757407407407408,0.0
eegmmidb,0,1,0.2,5,3,0.06000000000000001,1.046634833605266,0.7777777777777778,0.2222222222222222,0.0,1.0,3.757407407407408,0.0
eegmmidb,0,1,0.2,10,3,0.030000000000000006,1.046634833605266,0.7777777777777778,0.2222222222222222,0.0,1.0,3.757407407407408,0.0
eegmmidb,0,2,0.1,2,3,0.1,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.1,3,3,0.1,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.1,5,3,0.06000000000000001,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.1,10,3,0.030000000000000006,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.2,2,3,0.1,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.2,3,3,0.1,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.2,5,3,0.06000000000000001,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,2,0.2,10,3,0.030000000000000006,2.035937086493258,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,3,0.1,2,3,0.1,1.0960634181844804,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9499999999999997,0.0
eegmmidb,0,3,0.1,3,3,0.1,1.0960634181844804,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9499999999999997,0.0
eegmmidb,0,3,0.1,5,3,0.06000000000000001,1.0960634181844804,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9499999999999997,0.0
eegmmidb,0,3,0.1,10,3,0.030000000000000006,1.0960634181844804,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9499999999999997,0.0
eegmmidb,0,3,0.2,2,3,0.1,1.8016733765309862,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,0,3,0.2,3,3,0.1,1.8016733765309862,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,0,3,0.2,5,3,0.06000000000000001,1.8016733765309862,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,0,3,0.2,10,3,0.030000000000000006,1.8016733765309862,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9722222222222223,0.0
eegmmidb,0,4,0.1,2,3,0.1,0.9761363051957089,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9851851851851854,0.0
eegmmidb,0,4,0.1,3,3,0.1,0.9761363051957089,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9851851851851854,0.0
eegmmidb,0,4,0.1,5,3,0.06000000000000001,0.9761363051957089,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9851851851851854,0.0
eegmmidb,0,4,0.1,10,3,0.030000000000000006,0.9761363051957089,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9851851851851854,0.0
eegmmidb,0,4,0.2,2,3,0.1,0.9626193785044149,0.7777777777777778,0.2222222222222222,0.0,1.0,3.7662037037037033,0.0
eegmmidb,0,4,0.2,3,3,0.1,0.9626193785044149,0.7777777777777778,0.2222222222222222,0.0,1.0,3.7662037037037033,0.0
eegmmidb,0,4,0.2,5,3,0.06000000000000001,0.9626193785044149,0.7777777777777778,0.2222222222222222,0.0,1.0,3.7662037037037033,0.0
eegmmidb,0,4,0.2,10,3,0.030000000000000006,0.9626193785044149,0.7777777777777778,0.2222222222222222,0.0,1.0,3.7662037037037033,0.0
eegmmidb,1,0,0.1,2,3,0.1,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,0,0.1,3,3,0.1,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,0,0.1,5,3,0.06000000000000001,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,0,0.1,10,3,0.030000000000000006,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,1,0,0.2,2,3,0.1,2.2809134132940287,0.0,1.0,0.0,1.0,4.0,0.0
