dataset,seed,outer_fold,alpha,calibration_subject_count,repetition,estimated_q,csr,full_set_fallback,positive_benefit_certification_rate,joint_validity,average_set_size,safe_oracle_headroom_captured
eegmmidb,0,0,0.1,10,0,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,10,1,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,2,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,3,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,4,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,5,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,6,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,7,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,8,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,9,1.1657554164018469,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9629629629629637,0.0
eegmmidb,0,0,0.1,10,10,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,11,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,12,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,13,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,10,14,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,15,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,10,16,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,17,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,18,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,10,19,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,0,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,1,0.7456548937189151,0.4444444444444444,0.5555555555555556,0.0,1.0,3.896296296296296,0.0
eegmmidb,0,0,0.1,15,2,1.1657554164018469,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9629629629629637,0.0
eegmmidb,0,0,0.1,15,3,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,4,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,5,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,6,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,15,7,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,8,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,9,1.1657554164018469,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9629629629629637,0.0
eegmmidb,0,0,0.1,15,10,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,15,11,1.1657554164018469,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9629629629629637,0.0
eegmmidb,0,0,0.1,15,12,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,13,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,15,14,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,15,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,16,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,17,1.147231287821117,0.3333333333333333,0.6666666666666666,0.0,1.0,3.9574074074074073,0.0
eegmmidb,0,0,0.1,15,18,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,15,19,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,0,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,1,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,2,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,3,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,4,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,5,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,20,6,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,7,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,8,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,20,9,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,10,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,20,11,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,12,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,20,13,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,14,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,15,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,20,16,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,20,17,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,18,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,20,19,1.1657554164018469,0.2222222222222222,0.7777777777777778,0.0,1.0,3.9629629629629637,0.0
eegmmidb,0,0,0.1,25,0,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,25,1,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,2,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,25,3,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,4,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,5,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,25,6,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,7,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,8,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,9,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,25,10,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,25,11,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
eegmmidb,0,0,0.1,25,12,1.1944046476072663,0.1111111111111111,0.8888888888888888,0.0,1.0,3.9648148148148152,0.0
eegmmidb,0,0,0.1,25,13,2.755024705943867,0.0,1.0,0.0,1.0,4.0,0.0
