model,task,fold,epoch,trajectory_provenance,coordinate_correlation,crossfit,direction,fit_trials,normalized_mse,r2,subject,test_trials
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6168483629573003,1,within_s2,1344,0.6839102755507435,0.31608972444925654,9,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6724566358185549,1,within_s2,1344,0.584258093738538,0.415741906261462,23,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7204665995303705,1,within_s2,1344,0.5070789106500148,0.49292108934998524,33,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6960502571928715,1,within_s2,1344,0.5360298959229723,0.46397010407702766,47,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7314300710204922,2,within_s2,1344,0.48974523168983747,0.5102547683101626,3,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7451559343625898,2,within_s2,1344,0.4601166429568931,0.539883357043107,11,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7092513009822086,2,within_s2,1344,0.5396630691298065,0.46033693087019345,26,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7058215773895993,2,within_s2,1344,0.5056271180487811,0.49437288195121887,38,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7038691785170407,2,within_s2,1344,0.5005527958837132,0.49944720411628685,48,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6540866021986791,3,within_s2,1344,0.6088686274444605,0.39113137255553954,5,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7166973504114196,3,within_s2,1344,0.49945812119955263,0.5005418788004474,15,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6766467254166639,3,within_s2,1344,0.550004560055664,0.449995439944336,28,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7262753701997615,3,within_s2,1344,0.545110704271931,0.454889295728069,40,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6938258145422396,3,within_s2,1344,0.5517935361114276,0.44820646388857244,50,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7593032070780354,4,within_s2,1344,0.43327215108916917,0.5667278489108308,6,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7253606705315161,4,within_s2,1344,0.4756634480839595,0.5243365519160406,20,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.6890137149363199,4,within_s2,1344,0.5249054634769494,0.47509453652305056,30,64
EEGNet,OpenBMI_MI,3,6,RETRAINED_REPLICA_TRAJECTORY,0.7244480783384943,4,within_s2,1344,0.5115932680655272,0.4884067319344728,41,64
