epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,lambda_inv_effective_mi,lambda_inv_effective_erp,lambda_inv_effective_ssvep,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7785914702581369,0.7716666666666667,0.6218855218855219,0.9422222222222223,0.40156900220447117,3.5002769187644676,3.901845901100724,0.9805061099705873,0.0,0.0,0.0,0.0,20,0.6459726395577483,1.0,9.160396337509155
1,0.778608305274972,0.7666666666666666,0.6252693602693603,0.9438888888888889,0.3944076426603176,3.405677415706493,3.800085050088388,1.017198677416201,0.0,0.0,0.0,0.0,20,0.6459726395577483,1.0,16.7685546875
2,0.7798933782267117,0.768888888888889,0.6291245791245792,0.9416666666666667,0.39811287268444345,3.2916881199236268,3.689800982122068,1.1065571429552856,0.025,0.015,0.025,0.034999999999999996,20,0.6459726395577483,1.0,24.37081527709961
3,0.778989898989899,0.7649999999999999,0.6236363636363637,0.9483333333333334,0.3932718010964217,3.2137832200085676,3.607055001788669,1.1293302222534463,0.05,0.03,0.05,0.06999999999999999,20,0.6459726395577483,1.0,31.90419363975525
4,0.7807407407407408,0.7677777777777778,0.6361111111111111,0.9383333333333334,0.39096669300838754,3.3113044014683477,3.702271090613471,1.1348037752840254,0.07500000000000001,0.045000000000000005,0.07500000000000001,0.10500000000000001,20,0.6226008001437175,0.5221679056417259,41.61701965332031
5,0.779421997755331,0.7633333333333333,0.6288215488215488,0.9461111111111111,0.38832956552505493,3.311793645222982,3.7001231997101396,1.0929316613409255,0.1,0.06,0.1,0.13999999999999999,20,0.6226008001437175,0.5221679056417259,49.298075914382935
6,0.7767564534231202,0.7555555555555555,0.6297138047138047,0.9450000000000001,0.39525394748758386,3.3287680546442666,3.724021982263636,1.1991779462054923,0.1,0.06,0.1,0.13999999999999999,20,0.6226008001437175,0.5221679056417259,57.00652050971985
7,0.77989898989899,0.7677777777777778,0.6241414141414141,0.9477777777777778,0.390279530926987,3.3030874773308083,3.6933670043945312,1.215320975692184,0.1,0.06,0.1,0.13999999999999999,20,0.6226008001437175,0.5221679056417259,64.60223722457886
8,0.7771829405162739,0.765,0.6187710437710437,0.9477777777777778,0.3894182978956788,3.738682746887207,4.128101039815832,1.1058799613405157,0.1,0.06,0.1,0.13999999999999999,19,0.7167272425003183,0.5060862144878802,74.4226815700531
9,0.7784567901234567,0.7627777777777778,0.6275925925925926,0.9450000000000001,0.39492485810209205,3.615377258371424,4.0103021153697265,1.112158316153067,0.1,0.06,0.1,0.13999999999999999,19,0.7167272425003183,0.5060862144878802,82.1684148311615
