fold,seed,historical_strict_inductive_BA,outer_test_used
0,0,0.7622222222222222,False
0,1,0.7622222222222222,False
1,0,0.6922222222222223,False
1,1,0.6927777777777777,False
2,0,0.7511111111111111,False
2,1,0.755,False
