model,task,n_blocks,intercept,TRAIN_utility_coefficient,persistence_margin_coefficient,block_rank_coefficient,descriptive_only
EEGNet,OpenBMI_MI,19,0.5467817029058919,1.0238858118663299,0.34158516174255193,0.0024025151462179206,True
EEGNet,OpenBMI_ERP,28,0.5589538355368218,0.7352200530884039,0.10098229943324762,0.02346861730358485,True
EEGNet,OpenBMI_SSVEP,34,0.3227821147662735,0.8901195990031481,0.030275608928599543,0.062080265946913626,True
EEGNet,WBCIC_MI,23,0.5805392200835049,1.616806629238276,0.19726042163553048,-0.010193292967159762,True
EEGConformer,OpenBMI_MI,31,0.602934514613447,0.3349817732504363,-0.24110478415426662,-0.002553325950521046,True
EEGConformer,OpenBMI_ERP,28,0.5413026797021045,0.7418395607785462,0.029234506232607167,0.018734844154260633,True
EEGConformer,OpenBMI_SSVEP,32,0.2889411233469473,0.3237475612002017,0.1292535646704311,0.047113775176947204,True
EEGConformer,WBCIC_MI,16,0.5526649732794208,0.3808343968904411,0.7558192259882892,0.022229121619403824,True
