model,task,matched_pairs,subjects,Delta_future,future_CI_low,future_CI_high,Delta_worst,worst_CI_low,worst_CI_high
EEGNet,OpenBMI_ERP,3,14,0.03757440476190476,0.0022321428571428596,0.07217261904761904,0.0465029761904762,0.01264880952380953,0.08072916666666666
EEGNet,OpenBMI_SSVEP,9,14,-0.020793650793650784,-0.04674801587301587,0.004603174603174603,-0.017222222222222222,-0.03873015873015873,0.003811507936507772
EEGConformer,OpenBMI_ERP,7,14,0.019929846938775506,-0.006218112244897961,0.046556122448979595,0.011639030612244897,-0.011005261479591836,0.03396045918367347
