model,task,subject_id,delta_absolute_future,delta_absolute_worst
EEGConformer,OpenBMI_SSVEP,37,0.0,0.0
EEGConformer,OpenBMI_SSVEP,39,0.0,0.0
EEGConformer,OpenBMI_SSVEP,42,0.0,0.0
EEGConformer,OpenBMI_SSVEP,51,0.0,0.0
EEGConformer,OpenBMI_SSVEP,54,0.0,0.0
EEGConformer,WBCIC_MI,sub-4,0.0,0.0
EEGConformer,WBCIC_MI,sub-8,0.0,0.0
EEGConformer,WBCIC_MI,sub-10,0.0,0.0
EEGConformer,WBCIC_MI,sub-15,0.0,0.0
EEGConformer,WBCIC_MI,sub-20,0.0,0.0
EEGConformer,WBCIC_MI,sub-39,0.0,0.0
EEGConformer,WBCIC_MI,sub-40,0.0,0.0
EEGConformer,WBCIC_MI,sub-43,0.0,0.0
EEGConformer,WBCIC_MI,sub-46,0.0,0.0
EEGConformer,WBCIC_MI,sub-51,0.0,0.0
