family_id,dataset_id,backbone_id,fold_id,seed_id,subject_id,block_id,action,noop_BA,action_BA,delta_BA,pair_oracle_BA,pair_oracle_gain,all_action_oracle_gain,decision_units,outer_test_used,best_nontrivial_fixed_gain,best_fixed_including_noop_gain,selection_value,audit_fold_id
openbmi_sample_router,OpenBMI,EEGNet,0,0,11,PROTECTED_UNION,ERASE,0.705,0.51,-0.195,0.855,0.15,0.21,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,11,PROTECTED_UNION,AMPLIFY,0.705,0.66,-0.045,0.755,0.05,0.21,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,11,PROTECTED_UNION,GEOMETRY,0.705,0.635,-0.07,0.77,0.065,0.21,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,11,PROTECTED_UNION,ORACLE_ALL_ACTIONS,0.705,0.915,0.21,0.915,0.21,0.21,200,False,-0.045,0,0.21,
openbmi_sample_router,OpenBMI,EEGNet,0,0,12,PROTECTED_UNION,ERASE,0.795,0.585,-0.21,0.86,0.065,0.11,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,12,PROTECTED_UNION,AMPLIFY,0.795,0.77,-0.025,0.83,0.035,0.11,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,12,PROTECTED_UNION,GEOMETRY,0.795,0.715,-0.08,0.84,0.045,0.11,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,12,PROTECTED_UNION,ORACLE_ALL_ACTIONS,0.795,0.905,0.11,0.905,0.11,0.11,200,False,-0.025,0,0.11,
openbmi_sample_router,OpenBMI,EEGNet,0,0,15,PROTECTED_UNION,ERASE,0.9,0.585,-0.315,0.91,0.01,0.065,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,15,PROTECTED_UNION,AMPLIFY,0.9,0.885,-0.015,0.94,0.04,0.065,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,15,PROTECTED_UNION,GEOMETRY,0.9,0.855,-0.045,0.955,0.055,0.065,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,15,PROTECTED_UNION,ORACLE_ALL_ACTIONS,0.9,0.965,0.065,0.965,0.065,0.065,200,False,-0.015,0,0.065,
openbmi_sample_router,OpenBMI,EEGNet,0,0,16,PROTECTED_UNION,ERASE,0.905,0.635,-0.27,0.94,0.035,0.055,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,16,PROTECTED_UNION,AMPLIFY,0.905,0.905,0,0.915,0.01,0.055,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,16,PROTECTED_UNION,GEOMETRY,0.905,0.895,-0.01,0.925,0.02,0.055,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,16,PROTECTED_UNION,ORACLE_ALL_ACTIONS,0.905,0.96,0.055,0.96,0.055,0.055,200,False,0,0,0.055,
openbmi_sample_router,OpenBMI,EEGNet,0,0,18,PROTECTED_UNION,ERASE,0.91,0.725,-0.185,0.95,0.04,0.06,200,False,,,,
openbmi_sample_router,OpenBMI,EEGNet,0,0,18,PROTECTED_UNION,AMPLIFY,0.91,0.9,-0.01,0.925,0.015,0.06,200,False,,,,
