family_id,action,feature,n_grouped_units,pearson_r,pearson_p,spearman_r,spearman_p,spearman_group_bootstrap_CI_L,spearman_group_bootstrap_CI_U,grouped_permutation_p
openbmi_sample_router,geometry,f_router_protected_slot0_contribution_norm,52,0.3336386477,0.01564376603,0.3423373751,0.0129848224,0.09398377701,0.605939689,0.01661129568
openbmi_sample_router,geometry,f_router_p_full_max,52,0.3035707013,0.02868560509,0.3065064048,0.02710430636,0.01434894876,0.5388847068,0.01993355482
openbmi_sample_router,geometry,f_router_entropy_full,52,-0.3190102857,0.02116192375,-0.3187205377,0.0212859965,-0.5775507441,-0.05294836689,0.02325581395
openbmi_sample_router,geometry,f_router_top2_margin_full,52,0.3035707017,0.02868560489,0.3065064048,0.02710430636,0.06019635007,0.5222551904,0.02325581395
openbmi_sample_router,amplify,f_router_confidence_diff_base_geo,52,0.3623527296,0.008295027757,0.2955734747,0.03338823162,0.004720250764,0.5586225755,0.02990033223
openbmi_sample_router,erase,f_router_js_full_erase,52,-0.4399372869,0.001100552204,-0.3405418162,0.01349942402,-0.5479103867,-0.07479818893,0.02990033223
openbmi_sample_router,amplify,f_router_agreement_base_geo,52,0.2983307394,0.03169946524,0.2881334453,0.03832081291,0.004384126189,0.4954067888,0.03322259136
openbmi_sample_router,geometry,f_router_margin_geo,52,0.2933497356,0.03480399026,0.3058230967,0.02746569598,0.064377721,0.5522207065,0.0365448505
openbmi_sample_router,geometry,f_router_entropy_geo,52,-0.2911308455,0.03626584314,-0.3109906144,0.02483010641,-0.545423162,0.007733298609,0.03986710963
openbmi_sample_router,geometry,f_router_nll_proxy_full,52,-0.2986386573,0.03151536063,-0.300997233,0.03013444716,-0.5461010286,-0.009828581945,0.04318936877
openbmi_sample_router,geometry,f_router_delta_p_l2,52,0.2596799776,0.06301410825,0.2484252134,0.07576148086,-0.01593090006,0.495125078,0.07973421927
openbmi_sample_router,amplify,f_router_top2_margin_full,52,0.2336622252,0.09548067545,0.2350579981,0.09346107334,-0.0894230983,0.4589650394,0.08637873754
openbmi_sample_router,amplify,f_router_entropy_full,52,-0.2235649341,0.1111156564,-0.2429587483,0.08264863427,-0.4978974111,0.02238696856,0.09302325581
openbmi_sample_router,amplify,f_router_p_full_max,52,0.2336622251,0.09548067554,0.2350579981,0.09346107334,-0.01078042349,0.4713871859,0.09302325581
openbmi_sample_router,amplify,f_router_protected_slot0_geometry_margin,52,0.1695243641,0.2295727335,0.2365100278,0.09139549742,-0.06185861796,0.4569290762,0.09634551495
openbmi_sample_router,amplify,f_router_nll_proxy_full,52,-0.2355114593,0.0928121427,-0.2303602546,0.1003932814,-0.4891019452,0.0596239708,0.09966777409
openbmi_sample_router,geometry,f_router_protected_slot1_present,52,-0.2321738477,0.09767142938,-0.2317862765,0.09824824053,-0.5130100819,0.04811781928,0.1063122924
openbmi_sample_router,erase,f_router_confidence_diff_base_geo,52,0.2075173602,0.1398969281,0.2190295282,0.1187457489,-0.04640390292,0.4798598695,0.1196013289
