dataset,seed,master_cohort,n_subjects,source_head_train_overlap,overlap_fraction
hmc,0,formal_calibration,30,17,0.5666666666666667
hmc,0,internal_final_evaluation,31,19,0.6129032258064516
hmc,0,method_development,90,34,0.37777777777777777
hmc,1,formal_calibration,30,13,0.43333333333333335
hmc,1,internal_final_evaluation,31,18,0.5806451612903226
hmc,1,method_development,90,39,0.43333333333333335
hmc,2,formal_calibration,30,15,0.5
hmc,2,internal_final_evaluation,31,20,0.6451612903225806
hmc,2,method_development,90,35,0.3888888888888889
hmc,3,formal_calibration,30,13,0.43333333333333335
hmc,3,internal_final_evaluation,31,15,0.4838709677419355
hmc,3,method_development,90,42,0.4666666666666667
hmc,4,formal_calibration,30,11,0.36666666666666664
hmc,4,internal_final_evaluation,31,18,0.5806451612903226
hmc,4,method_development,90,41,0.45555555555555555
eegmmidb,0,formal_calibration,21,8,0.38095238095238093
eegmmidb,0,internal_final_evaluation,23,15,0.6521739130434783
eegmmidb,0,method_development,65,22,0.3384615384615385
eegmmidb,1,formal_calibration,21,8,0.38095238095238093
eegmmidb,1,internal_final_evaluation,23,8,0.34782608695652173
eegmmidb,1,method_development,65,29,0.4461538461538462
eegmmidb,2,formal_calibration,21,9,0.42857142857142855
eegmmidb,2,internal_final_evaluation,23,11,0.4782608695652174
eegmmidb,2,method_development,65,25,0.38461538461538464
eegmmidb,3,formal_calibration,21,9,0.42857142857142855
eegmmidb,3,internal_final_evaluation,23,7,0.30434782608695654
eegmmidb,3,method_development,65,29,0.4461538461538462
eegmmidb,4,formal_calibration,21,7,0.3333333333333333
eegmmidb,4,internal_final_evaluation,23,13,0.5652173913043478
eegmmidb,4,method_development,65,25,0.38461538461538464
