model,task,status,expected_BA,observed_BA,expected_macro_F1,observed_macro_F1,max_abs_error
ModernTCN,OpenBMI_MI,PASS,0.616952380952381,0.616952380952381,0.6131284240652964,0.6131284240652963,1.1102230246251565e-16
ModernTCN,OpenBMI_ERP,PASS,0.7981471861471863,0.798147186147186,0.7683683543195192,0.7683683543195192,2.220446049250313e-16
ModernTCN,OpenBMI_SSVEP,PASS,0.8441904761904762,0.8441904761904763,0.8424344193334482,0.8424344193334481,1.1102230246251565e-16
Medformer,OpenBMI_MI,PASS,0.6715714285714287,0.6715714285714286,0.6663734978222521,0.6663734978222521,1.1102230246251565e-16
Medformer,OpenBMI_ERP,PASS,0.8007344877344877,0.8007344877344877,0.7889534338698844,0.7889534338698844,0.0
Medformer,OpenBMI_SSVEP,PASS,0.8860952380952379,0.886095238095238,0.8846645384445041,0.8846645384445042,1.1102230246251565e-16
