model,task,future_BA,future_BA_ci_low,future_BA_ci_high,future_macro_F1,future_macro_F1_ci_low,future_macro_F1_ci_high,WS_BA,WS_BA_ci_low,WS_BA_ci_high,CSGD,CSGD_ci_low,CSGD_ci_high,parameters,MACs,complete_3seed,notes
EEGNet,OpenBMI_MI,0.6984285714285715,0.6546190476190477,0.7537619047619047,0.6923815916771339,0.6458586103274148,0.7494010247970724,0.6716190476190478,0.6401904761904763,0.7057630952380953,0.009857142857142898,-0.034999999999999934,0.05400119047619042,34162,32895872,True,
EEGNet,OpenBMI_ERP,0.8468080808080808,0.8036470779220779,0.8897684343434342,0.8042948465770968,0.7621603163609538,0.8469727078136432,0.8113992161063114,0.7757956570600748,0.8506704297807844,-0.0013410436339484039,-0.04804256558918469,0.04554996392496383,9586,8223040,True,
EEGNet,OpenBMI_SSVEP,0.890190476190476,0.8181428571428572,0.9526666666666666,0.889271364823939,0.816859863653964,0.9521843537835476,0.8729047619047619,0.7947607142857142,0.9420488095238095,0.0410952380952382,-0.016476190476190342,0.11585833333333335,34292,32896000,True,
EEGNet,WBCIC_MI,0.7917666666666666,0.7076666666666667,0.8655674999999999,0.7873731973766495,0.6989119542302482,0.8641201098832947,0.7065,0.6088000000000001,0.8062674999999999,-0.011149999999999948,-0.0912504166666666,0.09130041666666663,34098,30783872,True,
CBraMod,OpenBMI_MI,0.5067619047619047,0.4967619047619048,0.5154761904761905,0.4818326107663041,0.471172656154461,0.4912034792638061,0.496952380952381,0.48895119047619046,0.5044285714285713,-0.004952380952380998,-0.013428571428571475,0.0038095238095237627,4884002,,True,;MACs=UNRELIABLE_FFT_UNCOUNTED
CBraMod,OpenBMI_ERP,0.7474357864357863,0.6998296176046175,0.7943368686868685,0.6921882487028184,0.6515797152278661,0.7320003620451447,0.7289371239904897,0.6853248350261691,0.7745021133101787,0.014677383730749378,-0.02102058801652506,0.05392942460645601,4884002,,True,;MACs=UNRELIABLE_FFT_UNCOUNTED
CBraMod,OpenBMI_SSVEP,0.8502857142857143,0.756854761904762,0.9305238095238094,0.8489997010736362,0.7543194999783731,0.9300560783732325,0.831047619047619,0.732952380952381,0.9156190476190476,0.029857142857142888,-0.020190476190476148,0.10190476190476191,4884404,,True,;MACs=UNRELIABLE_FFT_UNCOUNTED
CBraMod,WBCIC_MI,0.7544666666666666,0.6747,0.8241333333333332,0.7526782385473527,0.6714675124474686,0.8232787764416291,0.6732333333333334,0.5809333333333333,0.7681333333333333,-0.006299999999999961,-0.08275041666666659,0.08968416666666662,4884002,,True,;MACs=UNRELIABLE_FFT_UNCOUNTED
TeCh,OpenBMI_MI,0.7117619047619046,0.6614749999999999,0.770190476190476,0.6988806963047111,0.6406506468946063,0.7625432473309746,0.6736666666666666,0.6384761904761904,0.7128095238095239,-0.0002857142857142463,-0.048619047619047576,0.04662023809523803,793026,131077888,True,
TeCh,OpenBMI_ERP,0.8046075036075037,0.7542456709956711,0.8549250721500721,0.7506608349026297,0.7010275593952586,0.8005520317395891,0.768661067926077,0.7280852714969148,0.812806966813592,0.0038053680703771797,-0.04661969366628255,0.05498322510822483,793026,32965888,True,
TeCh,OpenBMI_SSVEP,0.8235238095238095,0.7361392857142857,0.9062869047619049,0.8220343606541316,0.7334172810651259,0.9058894546869455,0.8008095238095237,0.7053309523809523,0.8896714285714282,0.03771428571428576,-0.0228095238095238,0.11438214285714282,6203140,3163710464,True,
TeCh,WBCIC_MI,0.7436666666666667,0.6753983333333333,0.8044358333333332,0.7410256538915913,0.670798778296581,0.8028827571351816,0.6648666666666667,0.5848658333333332,0.7456341666666666,-0.001450000000000018,-0.07986874999999999,0.08996708333333325,789954,130564864,True,
ModernTCN,OpenBMI_MI,0.616952380952381,0.5654273809523809,0.6804761904761903,0.6131284240652963,0.5609592700593825,0.6770760902213151,0.5754761904761906,0.5442380952380953,0.6103809523809526,-0.009952380952380959,-0.06104761904761902,0.037285714285714255,17391170,688844800,True,
ModernTCN,OpenBMI_ERP,0.7981471861471862,0.7461511183261184,0.8502049422799424,0.7683683543195192,0.7219800900523043,0.8143484187925463,0.7664019717227722,0.7198691859905474,0.8172707070707068,0.0032980756188761124,-0.0420526065690256,0.048616125541125425,17026114,173417472,True,
ModernTCN,OpenBMI_SSVEP,0.8441904761904763,0.7557142857142859,0.9255238095238096,0.8424344193334481,0.7526158936198357,0.9250934152687688,0.8264285714285714,0.7286666666666667,0.9133833333333332,0.03766666666666672,-0.020190476190476092,0.11452499999999997,17883204,689336832,True,
ModernTCN,WBCIC_MI,0.7146666666666667,0.6540666666666668,0.7748,0.7133259856007326,0.6522773708965175,0.7739553417603118,0.6472333333333333,0.5791324999999999,0.7240008333333332,0.0024999999999999354,-0.06535083333333343,0.08238374999999983,15914050,629673984,True,
Medformer,OpenBMI_MI,0.6715714285714286,0.6246190476190476,0.7310488095238097,0.666373497822252,0.6186853847974579,0.7268596036374776,0.6325714285714287,0.6037619047619047,0.665095238095238,-0.006904761904761898,-0.052333333333333384,0.03719047619047618,3890178,587909376,True,
Medformer,OpenBMI_ERP,0.8007344877344877,0.7461888528138528,0.8549730158730158,0.7889534338698844,0.738411927512757,0.8388232661126894,0.7661657850269131,0.7195580569622414,0.8164115800865802,0.006647747508875479,-0.0432715205638644,0.05738495670995665,3781890,133785600,True,
Medformer,OpenBMI_SSVEP,0.886095238095238,0.8073333333333335,0.9544285714285714,0.8846645384445042,0.8037642184999263,0.9545553706969676,0.8706666666666666,0.7891428571428573,0.9432392857142855,0.03595238095238097,-0.01657142857142854,0.10657261904761899,4035332,588054528,True,
Medformer,WBCIC_MI,0.7581,0.6860333333333333,0.8240683333333332,0.7552807571199139,0.6815238764872402,0.8227385514037767,0.6891999999999999,0.6049325,0.7764341666666665,0.005316666666666725,-0.07486708333333326,0.10170041666666671,3853314,584812800,True,
LiteBN,OpenBMI_MI,0.7212857142857142,0.6649988095238094,0.7836214285714281,0.7093167431116905,0.6480068143985771,0.7755010534345356,0.6908095238095239,0.6456190476190476,0.7412857142857142,0.0044285714285714406,-0.04000000000000004,0.045619047619047615,16618,105312320,True,
LiteBN,OpenBMI_ERP,0.8503881673881674,0.8058922077922077,0.89409898989899,0.8071210027529737,0.7624882451764595,0.8514757893078418,0.8182189056816104,0.7791497367113043,0.8595558572819944,0.0020457455084501902,-0.043449354324672715,0.04752409812409811,16618,26333024,True,
LiteBN,OpenBMI_SSVEP,,,,,,,,,,,,,16748,105312448,False,missing_checkpoint=2;missing_session_files=26
LiteBN,WBCIC_MI,,,,,,,,,,,,,16426,98560320,False,missing_checkpoint=10;missing_session_files=15
