model,task,session,BA,BA_ci_low,BA_ci_high,macro_F1,macro_F1_ci_low,macro_F1_ci_high,n_subjects,n_checkpoints
EEGNet,OpenBMI_MI,S1,0.7082857142857144,0.6751904761904762,0.7420476190476192,0.7048565786862937,0.671158695154094,0.7392332859456536,14,15
EEGNet,OpenBMI_MI,S2,0.6984285714285715,0.6546190476190477,0.7537619047619047,0.6923815916771339,0.6458586103274148,0.7494010247970724,14,15
EEGNet,OpenBMI_ERP,S1,0.8454670371741324,0.8062108183323314,0.8846595475022248,0.8012526534298656,0.7691318097777836,0.8327945367803065,14,15
EEGNet,OpenBMI_ERP,S2,0.8468080808080808,0.8036470779220779,0.8897684343434342,0.8042948465770968,0.7621603163609538,0.8469727078136432,14,15
EEGNet,OpenBMI_SSVEP,S1,0.9312857142857144,0.8674761904761905,0.9805726190476192,0.9298263032554074,0.863976185715537,0.9805594385528668,14,15
EEGNet,OpenBMI_SSVEP,S2,0.890190476190476,0.8181428571428572,0.9526666666666666,0.889271364823939,0.816859863653964,0.9521843537835476,14,15
EEGNet,WBCIC_MI,S1,0.7734333333333333,0.6711,0.8704674999999998,0.7659939996077252,0.6569380478390995,0.8677210211505366,10,15
EEGNet,WBCIC_MI,S2,0.7878000000000001,0.7096991666666667,0.8656674999999998,0.7832002438180063,0.7030876689039907,0.8633672836152185,10,15
EEGNet,WBCIC_MI,S3,0.7917666666666666,0.7076666666666667,0.8655674999999999,0.7873731973766495,0.6989119542302482,0.8641201098832947,10,15
CBraMod,OpenBMI_MI,S1,0.5018095238095238,0.4932380952380953,0.51,0.4742530141096729,0.4652751197170956,0.4837579487324561,14,15
CBraMod,OpenBMI_MI,S2,0.5067619047619047,0.4967619047619048,0.5154761904761905,0.4818326107663041,0.471172656154461,0.4912034792638061,14,15
CBraMod,OpenBMI_ERP,S1,0.7621131701665359,0.7246499513019828,0.8011597763347762,0.6971170529013367,0.6652859089189137,0.7304671836423423,14,15
CBraMod,OpenBMI_ERP,S2,0.7474357864357863,0.6998296176046175,0.7943368686868685,0.6921882487028184,0.6515797152278661,0.7320003620451447,14,15
CBraMod,OpenBMI_SSVEP,S1,0.8801428571428571,0.7868083333333332,0.9532857142857142,0.877675716606967,0.7808074141124788,0.9529485985584651,14,15
CBraMod,OpenBMI_SSVEP,S2,0.8502857142857143,0.756854761904762,0.9305238095238094,0.8489997010736362,0.7543194999783731,0.9300560783732325,14,15
CBraMod,WBCIC_MI,S1,0.7386666666666667,0.6420658333333333,0.8318675,0.7355543581031001,0.6367332935787237,0.8305351927213491,10,15
CBraMod,WBCIC_MI,S2,0.7576666666666667,0.6827666666666667,0.8318008333333332,0.7555062007211015,0.6799471391395571,0.83044342303761,10,15
CBraMod,WBCIC_MI,S3,0.7544666666666666,0.6747,0.8241333333333332,0.7526782385473527,0.6714675124474686,0.8232787764416291,10,15
TeCh,OpenBMI_MI,S1,0.7114761904761905,0.678095238095238,0.7483333333333333,0.7057226005445013,0.6711893888690313,0.7435480221459083,14,15
TeCh,OpenBMI_MI,S2,0.7117619047619046,0.6614749999999999,0.770190476190476,0.6988806963047111,0.6406506468946063,0.7625432473309746,14,15
TeCh,OpenBMI_ERP,S1,0.8084128716778807,0.7666782282016211,0.8498018759018758,0.7519873781992729,0.7177054051622846,0.7855969852080698,14,15
TeCh,OpenBMI_ERP,S2,0.8046075036075037,0.7542456709956711,0.8549250721500721,0.7506608349026297,0.7010275593952586,0.8005520317395891,14,15
TeCh,OpenBMI_SSVEP,S1,0.8612380952380951,0.7702845238095238,0.9382869047619048,0.8586185321504118,0.764648118884234,0.937736882459793,14,15
TeCh,OpenBMI_SSVEP,S2,0.8235238095238095,0.7361392857142857,0.9062869047619049,0.8220343606541316,0.7334172810651259,0.9058894546869455,14,15
TeCh,WBCIC_MI,S1,0.7315666666666666,0.6372666666666668,0.823400833333333,0.7276779592655892,0.629874598235361,0.8214724587346345,10,15
TeCh,WBCIC_MI,S2,0.7528666666666666,0.6843633333333332,0.8191674999999998,0.7499303170902205,0.680178497099074,0.8173217980095543,10,15
TeCh,WBCIC_MI,S3,0.7436666666666667,0.6753983333333333,0.8044358333333332,0.7410256538915913,0.670798778296581,0.8028827571351816,10,15
ModernTCN,OpenBMI_MI,S1,0.6070000000000001,0.5774273809523809,0.6371440476190476,0.6050756578377303,0.5754125178302489,0.6352941804632704,14,15
ModernTCN,OpenBMI_MI,S2,0.616952380952381,0.5654273809523809,0.6804761904761903,0.6131284240652963,0.5609592700593825,0.6770760902213151,14,15
ModernTCN,OpenBMI_ERP,S1,0.8014452617660622,0.756451641118803,0.8473306685717082,0.7709337837696504,0.7367421020664204,0.8067158506906646,14,15
ModernTCN,OpenBMI_ERP,S2,0.7981471861471862,0.7461511183261184,0.8502049422799424,0.7683683543195192,0.7219800900523043,0.8143484187925463,14,15
ModernTCN,OpenBMI_SSVEP,S1,0.8818571428571429,0.7929047619047619,0.9542380952380954,0.8804348376172063,0.7904431195938537,0.9538205074133097,14,15
ModernTCN,OpenBMI_SSVEP,S2,0.8441904761904763,0.7557142857142859,0.9255238095238096,0.8424344193334481,0.7526158936198357,0.9250934152687688,14,15
ModernTCN,WBCIC_MI,S1,0.7167999999999999,0.6329,0.7999333333333333,0.7149708164257639,0.6298704645103065,0.7990524323490119,10,15
ModernTCN,WBCIC_MI,S2,0.7175333333333332,0.6468324999999999,0.7895008333333333,0.7158289400280027,0.644730929828315,0.7883975921608335,10,15
ModernTCN,WBCIC_MI,S3,0.7146666666666667,0.6540666666666668,0.7748,0.7133259856007326,0.6522773708965175,0.7739553417603118,10,15
Medformer,OpenBMI_MI,S1,0.6646666666666666,0.632522619047619,0.6983821428571428,0.6609984623278953,0.6284089610088934,0.6953463932084709,14,15
Medformer,OpenBMI_MI,S2,0.6715714285714286,0.6246190476190476,0.7310488095238097,0.666373497822252,0.6186853847974579,0.7268596036374776,14,15
Medformer,OpenBMI_ERP,S1,0.8073822352433631,0.7634597001812282,0.852295659160259,0.7919222351424049,0.7562856399089326,0.8280561191415089,14,15
Medformer,OpenBMI_ERP,S2,0.8007344877344877,0.7461888528138528,0.8549730158730158,0.7889534338698844,0.738411927512757,0.8388232661126894,14,15
Medformer,OpenBMI_SSVEP,S1,0.9220476190476191,0.8509988095238095,0.9771916666666668,0.921076446277481,0.8484768498519573,0.9772346160404354,14,15
Medformer,OpenBMI_SSVEP,S2,0.886095238095238,0.8073333333333335,0.9544285714285714,0.8846645384445042,0.8037642184999263,0.9545553706969676,14,15
Medformer,WBCIC_MI,S1,0.76,0.6644991666666668,0.8511349999999999,0.7550178528170691,0.6548016562283325,0.8493559158415452,10,15
Medformer,WBCIC_MI,S2,0.7668333333333334,0.6929000000000001,0.8399341666666665,0.7640047746503404,0.6891812806212466,0.8381382550829244,10,15
Medformer,WBCIC_MI,S3,0.7581,0.6860333333333333,0.8240683333333332,0.7552807571199139,0.6815238764872402,0.8227385514037767,10,15
