model,task,subject_id,CSGD_subject
CBraMod,WBCIC_MI,sub-10,-0.12249999999999983
CBraMod,WBCIC_MI,sub-15,-0.005833333333333357
CBraMod,WBCIC_MI,sub-20,0.36349999999999993
CBraMod,WBCIC_MI,sub-39,-0.17783333333333318
CBraMod,WBCIC_MI,sub-40,-0.07600000000000007
CBraMod,WBCIC_MI,sub-43,0.009166666666666767
CBraMod,WBCIC_MI,sub-46,0.08433333333333337
CBraMod,WBCIC_MI,sub-51,-0.02633333333333332
TeCh,OpenBMI_MI,4,-0.10599999999999987
TeCh,OpenBMI_MI,12,0.12066666666666681
TeCh,OpenBMI_MI,13,-0.0019999999999998908
TeCh,OpenBMI_MI,17,0.09533333333333327
TeCh,OpenBMI_MI,18,0.009999999999999898
TeCh,OpenBMI_MI,24,0.1426666666666666
TeCh,OpenBMI_MI,25,-0.18799999999999994
TeCh,OpenBMI_MI,29,-0.08999999999999997
TeCh,OpenBMI_MI,36,-0.0239999999999998
TeCh,OpenBMI_MI,37,-0.050000000000000044
TeCh,OpenBMI_MI,39,0.09733333333333327
TeCh,OpenBMI_MI,42,0.02866666666666684
TeCh,OpenBMI_MI,51,0.03466666666666662
TeCh,OpenBMI_MI,54,-0.07333333333333325
TeCh,OpenBMI_ERP,4,-0.09224242424242435
TeCh,OpenBMI_ERP,12,-0.024828282828282755
TeCh,OpenBMI_ERP,13,0.009131313131313323
TeCh,OpenBMI_ERP,17,-0.01745454545454539
TeCh,OpenBMI_ERP,18,-0.1352096954995683
TeCh,OpenBMI_ERP,24,0.18002020202020197
TeCh,OpenBMI_ERP,25,0.013838383838383539
TeCh,OpenBMI_ERP,29,-0.05038383838383842
TeCh,OpenBMI_ERP,36,-0.017999999999999905
TeCh,OpenBMI_ERP,37,-0.15262626262626255
TeCh,OpenBMI_ERP,39,0.12438383838383837
TeCh,OpenBMI_ERP,42,0.07981818181818179
TeCh,OpenBMI_ERP,51,0.14933333333333354
TeCh,OpenBMI_ERP,54,-0.012505050505050352
TeCh,OpenBMI_SSVEP,4,-0.024666666666666726
TeCh,OpenBMI_SSVEP,12,0.07266666666666677
TeCh,OpenBMI_SSVEP,13,0.1266666666666666
TeCh,OpenBMI_SSVEP,17,-0.04999999999999982
TeCh,OpenBMI_SSVEP,18,-0.03733333333333344
TeCh,OpenBMI_SSVEP,24,0.04399999999999982
TeCh,OpenBMI_SSVEP,25,0.11000000000000043
TeCh,OpenBMI_SSVEP,29,0.04466666666666663
TeCh,OpenBMI_SSVEP,36,0.0
TeCh,OpenBMI_SSVEP,37,-0.019333333333333202
TeCh,OpenBMI_SSVEP,39,-0.014666666666666606
TeCh,OpenBMI_SSVEP,42,0.4480000000000002
TeCh,OpenBMI_SSVEP,51,-0.15599999999999997
TeCh,OpenBMI_SSVEP,54,-0.016000000000000014
TeCh,WBCIC_MI,sub-4,-0.09983333333333333
TeCh,WBCIC_MI,sub-8,-0.024833333333333263
TeCh,WBCIC_MI,sub-10,-0.15816666666666668
TeCh,WBCIC_MI,sub-15,0.028666666666666507
TeCh,WBCIC_MI,sub-20,0.3404999999999999
TeCh,WBCIC_MI,sub-39,-0.17233333333333323
TeCh,WBCIC_MI,sub-40,-0.01883333333333348
TeCh,WBCIC_MI,sub-43,0.054333333333333456
TeCh,WBCIC_MI,sub-46,0.08866666666666656
TeCh,WBCIC_MI,sub-51,-0.05266666666666664
ModernTCN,OpenBMI_MI,4,-0.1633333333333331
ModernTCN,OpenBMI_MI,12,0.012666666666666715
ModernTCN,OpenBMI_MI,13,-0.036666666666666514
ModernTCN,OpenBMI_MI,17,0.06000000000000005
ModernTCN,OpenBMI_MI,18,-0.02733333333333343
ModernTCN,OpenBMI_MI,24,0.05133333333333334
ModernTCN,OpenBMI_MI,25,-0.22799999999999987
ModernTCN,OpenBMI_MI,29,0.0173333333333332
ModernTCN,OpenBMI_MI,36,-0.07533333333333336
ModernTCN,OpenBMI_MI,37,-0.03466666666666662
ModernTCN,OpenBMI_MI,39,0.11733333333333329
ModernTCN,OpenBMI_MI,42,-0.015333333333333421
ModernTCN,OpenBMI_MI,51,0.11999999999999977
ModernTCN,OpenBMI_MI,54,0.06266666666666654
ModernTCN,OpenBMI_ERP,4,-0.12957575757575757
ModernTCN,OpenBMI_ERP,12,-0.010222222222222466
ModernTCN,OpenBMI_ERP,13,-0.00426262626262619
ModernTCN,OpenBMI_ERP,17,0.021656565656565707
ModernTCN,OpenBMI_ERP,18,-0.15598855749735074
ModernTCN,OpenBMI_ERP,24,0.10458585858585856
ModernTCN,OpenBMI_ERP,25,-0.006181818181818066
ModernTCN,OpenBMI_ERP,29,-0.05777777777777782
ModernTCN,OpenBMI_ERP,36,-0.003878787878787815
ModernTCN,OpenBMI_ERP,37,-0.07654545454545447
ModernTCN,OpenBMI_ERP,39,0.14624242424242406
ModernTCN,OpenBMI_ERP,42,0.0759595959595959
ModernTCN,OpenBMI_ERP,51,0.12674747474747494
ModernTCN,OpenBMI_ERP,54,0.015414141414141547
ModernTCN,OpenBMI_SSVEP,4,-0.0173333333333332
ModernTCN,OpenBMI_SSVEP,12,0.07533333333333336
ModernTCN,OpenBMI_SSVEP,13,0.1453333333333332
ModernTCN,OpenBMI_SSVEP,17,-0.026666666666666505
ModernTCN,OpenBMI_SSVEP,18,-0.0206666666666665
ModernTCN,OpenBMI_SSVEP,24,0.010666666666666491
ModernTCN,OpenBMI_SSVEP,25,0.05733333333333357
ModernTCN,OpenBMI_SSVEP,29,-0.0339999999999997
ModernTCN,OpenBMI_SSVEP,36,0.0
ModernTCN,OpenBMI_SSVEP,37,-0.015333333333333421
ModernTCN,OpenBMI_SSVEP,39,0.016000000000000125
ModernTCN,OpenBMI_SSVEP,42,0.4666666666666668
ModernTCN,OpenBMI_SSVEP,51,-0.1346666666666667
ModernTCN,OpenBMI_SSVEP,54,0.004666666666666597
ModernTCN,WBCIC_MI,sub-4,-0.12450000000000006
ModernTCN,WBCIC_MI,sub-8,-0.006500000000000172
ModernTCN,WBCIC_MI,sub-10,-0.1276666666666667
ModernTCN,WBCIC_MI,sub-15,0.04966666666666686
ModernTCN,WBCIC_MI,sub-20,0.2959999999999998
ModernTCN,WBCIC_MI,sub-39,-0.10783333333333345
ModernTCN,WBCIC_MI,sub-40,-0.053333333333333455
ModernTCN,WBCIC_MI,sub-43,0.02516666666666678
ModernTCN,WBCIC_MI,sub-46,0.10716666666666663
ModernTCN,WBCIC_MI,sub-51,-0.0331666666666669
Medformer,OpenBMI_MI,4,-0.10399999999999998
Medformer,OpenBMI_MI,12,0.06333333333333346
Medformer,OpenBMI_MI,13,-0.02399999999999991
Medformer,OpenBMI_MI,17,0.08200000000000018
Medformer,OpenBMI_MI,18,0.03666666666666685
Medformer,OpenBMI_MI,24,0.03733333333333344
Medformer,OpenBMI_MI,25,-0.19066666666666687
Medformer,OpenBMI_MI,29,-0.04400000000000004
Medformer,OpenBMI_MI,36,-0.08133333333333337
Medformer,OpenBMI_MI,37,-0.004666666666666819
Medformer,OpenBMI_MI,39,0.1466666666666665
Medformer,OpenBMI_MI,42,-0.03600000000000003
Medformer,OpenBMI_MI,51,0.08333333333333348
Medformer,OpenBMI_MI,54,-0.06133333333333346
Medformer,OpenBMI_ERP,4,-0.10610101010101014
Medformer,OpenBMI_ERP,12,-0.0223232323232323
Medformer,OpenBMI_ERP,13,-0.006181818181818399
Medformer,OpenBMI_ERP,17,0.005010101010101131
Medformer,OpenBMI_ERP,18,-0.14097193891614734
Medformer,OpenBMI_ERP,24,0.13775757575757575
Medformer,OpenBMI_ERP,25,0.030545454545454542
Medformer,OpenBMI_ERP,29,-0.061858585858585946
Medformer,OpenBMI_ERP,36,-0.015878787878787493
Medformer,OpenBMI_ERP,37,-0.13064646464646468
Medformer,OpenBMI_ERP,39,0.13464646464646468
Medformer,OpenBMI_ERP,42,0.08088888888888879
Medformer,OpenBMI_ERP,51,0.1689090909090908
Medformer,OpenBMI_ERP,54,0.01927272727272733
Medformer,OpenBMI_SSVEP,4,-0.009333333333333305
Medformer,OpenBMI_SSVEP,12,0.04333333333333367
Medformer,OpenBMI_SSVEP,13,0.13533333333333353
Medformer,OpenBMI_SSVEP,17,-0.048000000000000154
Medformer,OpenBMI_SSVEP,18,-0.007999999999999896
Medformer,OpenBMI_SSVEP,24,0.04266666666666652
Medformer,OpenBMI_SSVEP,25,0.06933333333333347
Medformer,OpenBMI_SSVEP,29,-0.01666666666666694
Medformer,OpenBMI_SSVEP,36,0.0
Medformer,OpenBMI_SSVEP,37,-0.0033333333333334103
Medformer,OpenBMI_SSVEP,39,-0.006666666666666599
Medformer,OpenBMI_SSVEP,42,0.42866666666666664
Medformer,OpenBMI_SSVEP,51,-0.11399999999999977
Medformer,OpenBMI_SSVEP,54,-0.01000000000000012
Medformer,WBCIC_MI,sub-4,-0.11416666666666653
Medformer,WBCIC_MI,sub-8,-0.011833333333333251
Medformer,WBCIC_MI,sub-10,-0.1276666666666667
Medformer,WBCIC_MI,sub-15,0.015499999999999847
Medformer,WBCIC_MI,sub-20,0.37250000000000005
Medformer,WBCIC_MI,sub-39,-0.17966666666666664
Medformer,WBCIC_MI,sub-40,-0.007499999999999951
Medformer,WBCIC_MI,sub-43,0.04533333333333356
Medformer,WBCIC_MI,sub-46,0.09033333333333338
Medformer,WBCIC_MI,sub-51,-0.029666666666666508
LiteBN,OpenBMI_MI,4,-0.10666666666666691
LiteBN,OpenBMI_MI,12,0.018000000000000016
LiteBN,OpenBMI_MI,13,0.08599999999999997
LiteBN,OpenBMI_MI,17,0.1306666666666667
LiteBN,OpenBMI_MI,18,0.055333333333333345
LiteBN,OpenBMI_MI,24,0.028000000000000025
LiteBN,OpenBMI_MI,25,-0.18400000000000005
LiteBN,OpenBMI_MI,29,-0.050000000000000044
LiteBN,OpenBMI_MI,36,-0.0019999999999997797
LiteBN,OpenBMI_MI,37,-0.01533333333333331
LiteBN,OpenBMI_MI,39,0.09333333333333327
LiteBN,OpenBMI_MI,42,0.016000000000000125
LiteBN,OpenBMI_MI,51,0.06133333333333324
LiteBN,OpenBMI_MI,54,-0.06866666666666643
LiteBN,OpenBMI_ERP,4,-0.09408080808080821
LiteBN,OpenBMI_ERP,12,-0.018989898989899
LiteBN,OpenBMI_ERP,13,-0.004585858585858804
LiteBN,OpenBMI_ERP,17,0.026181818181818306
LiteBN,OpenBMI_ERP,18,-0.17273330025543487
LiteBN,OpenBMI_ERP,24,0.14509090909090894
LiteBN,OpenBMI_ERP,25,0.003171717171717381
LiteBN,OpenBMI_ERP,29,-0.03567676767676764
LiteBN,OpenBMI_ERP,36,-0.006080808080808353
LiteBN,OpenBMI_ERP,37,-0.09395959595959591
LiteBN,OpenBMI_ERP,39,0.11402020202020213
LiteBN,OpenBMI_ERP,42,0.05874747474747488
LiteBN,OpenBMI_ERP,51,0.13179797979798002
LiteBN,OpenBMI_ERP,54,-0.024262626262626208
