baseline,task,metric,delta_LiteBN_minus_baseline,CI_low,CI_high,n_subjects,bootstrap_draws,status
EEGNet,OpenBMI_MI,future_BA,0.022857142857142847,-0.011095238095238118,0.05738095238095238,14,20000,COMPLETE
EEGNet,OpenBMI_MI,future_macro_F1,0.016935151434556546,-0.020928918793179124,0.05437972171757845,14,20000,COMPLETE
EEGNet,OpenBMI_MI,WS_BA,0.019190476190476202,-0.014857142857142855,0.05419047619047621,14,20000,COMPLETE
CBraMod,OpenBMI_MI,future_BA,0.2145238095238095,0.1540952380952381,0.27885714285714286,14,20000,COMPLETE
CBraMod,OpenBMI_MI,future_macro_F1,0.22748413234538636,0.16382188848610707,0.2942761749952716,14,20000,COMPLETE
CBraMod,OpenBMI_MI,WS_BA,0.1938571428571429,0.14604761904761906,0.24466666666666664,14,20000,COMPLETE
TeCh,OpenBMI_MI,future_BA,0.009523809523809545,-0.018857142857142867,0.035666666666666694,14,20000,COMPLETE
TeCh,OpenBMI_MI,future_macro_F1,0.010436046806979456,-0.022001431409144363,0.04079094581632554,14,20000,COMPLETE
TeCh,OpenBMI_MI,WS_BA,0.017142857142857133,-0.013380952380952398,0.04638095238095235,14,20000,COMPLETE
ModernTCN,OpenBMI_MI,future_BA,0.10433333333333336,0.0720952380952381,0.13328571428571426,14,20000,COMPLETE
ModernTCN,OpenBMI_MI,future_macro_F1,0.09618831904639413,0.05801624430215908,0.12938154532207424,14,20000,COMPLETE
ModernTCN,OpenBMI_MI,WS_BA,0.11533333333333332,0.08247619047619047,0.1492857142857143,14,20000,COMPLETE
Medformer,OpenBMI_MI,future_BA,0.0497142857142857,0.008427380952380922,0.09147619047619047,14,20000,COMPLETE
Medformer,OpenBMI_MI,future_macro_F1,0.042943245289438374,-0.003091872790405894,0.08841472246816881,14,20000,COMPLETE
Medformer,OpenBMI_MI,WS_BA,0.05823809523809526,0.015998809523809557,0.10228571428571431,14,20000,COMPLETE
EEGNet,OpenBMI_ERP,future_BA,0.003580086580086572,-0.002340584415584471,0.010222258297258315,14,20000,COMPLETE
EEGNet,OpenBMI_ERP,future_macro_F1,0.0028261561758768134,-0.004557652804069699,0.00985740200556304,14,20000,COMPLETE
EEGNet,OpenBMI_ERP,WS_BA,0.006819689575298993,-0.002499087470039679,0.017078057364776564,14,20000,COMPLETE
CBraMod,OpenBMI_ERP,future_BA,0.10295238095238095,0.07461980519480517,0.12456277056277057,14,20000,COMPLETE
CBraMod,OpenBMI_ERP,future_macro_F1,0.11493275405015524,0.08688503760125788,0.13580880972335613,14,20000,COMPLETE
CBraMod,OpenBMI_ERP,WS_BA,0.08928178169112067,0.0621934176732236,0.11115485980396532,14,20000,COMPLETE
TeCh,OpenBMI_ERP,future_BA,0.045780663780663755,0.03569812409812409,0.055132792207792165,14,20000,COMPLETE
TeCh,OpenBMI_ERP,future_macro_F1,0.05646016785034397,0.04596263022564742,0.0685014369922179,14,20000,COMPLETE
TeCh,OpenBMI_ERP,WS_BA,0.049557837755533254,0.039614652349537045,0.05979230092224322,14,20000,COMPLETE
