model,task,fold,seed,checkpoint_path,checkpoint_hash,normalizer_hash,status,reason
EEGNet,OpenBMI_MI,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed0\selected.pt,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed1\selected.pt,3aa39fa5a83d8d1202f1b8307b10943325fac563938e7727c7e11731de92dab8,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,0,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold0_seed2\selected.pt,b677e6739af59491b4717abccd6d224ccf495e6ce1dab2803e53dfdf85e36e9d,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,1,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed0\selected.pt,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,1,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed1\selected.pt,26fe3cd51b5f8466e1599b935fa8a97475d0fb40e20504170de46f78c365f546,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,1,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold1_seed2\selected.pt,a050a109ad36d077c01425fbd89fef2a2b385a64b1c898529cc5acfb4819b19e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,2,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed0\selected.pt,e05e706370a70479056262c6acd3d50303eaeedcebb34c25c1975683b5a1b31b,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,2,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed1\selected.pt,e206dcc16be49a8cf635e8d78c0a313265571d7e80e217602935d5b17606cf99,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,2,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold2_seed2\selected.pt,cd824a8f32ed3418c2ed7c9a53bb1df81a08fa7506e92ae519ba4c1d0c58188a,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,3,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed0\selected.pt,bb6d51d2dadc12c03a159b73194845094b24093d251dd44713055016f30b09c8,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,3,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed1\selected.pt,fd03b996efb1d23f47fc349f8274437c7bd2db760a679ecd2c4808e6715bb7ec,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,3,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold3_seed2\selected.pt,2680540cad8e1f509a5cc9219a129d33b77d550ca912b3da1c8e0ac13f054adf,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,4,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed0\selected.pt,92f2de1b95d785fd5f801b05625a2b8a9b475cfc3831262a63cf406d5b896462,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,4,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed1\selected.pt,18e7ca3b92362386d327d56383ebe95a4bd0a6899685a0b3e4aa93f49e0dec76,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_MI,4,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_mi\eegnet\fold4_seed2\selected.pt,7224fe2a5b2a5a2f0dd79000b82c28cd294225ac6155a3b9355e5552af2dd95d,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,0,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed0\selected.pt,d803e953355c6d326d7889b057412049edcd96cc800f9782d7fb36782a175b89,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,0,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed1\selected.pt,b65f380d52cbcafa22129258a2a087af046ea77db60ef23cd1c220fb60dcd29b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,0,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold0_seed2\selected.pt,0f28d8f44250f6800c36fb227390c776cc47ed35e0157439393ac04633c09ecd,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,1,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed0\selected.pt,f4e2e9272eb01443de43cf8b91fa12040b46238aa312729ccda9311950ca2b05,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,1,1,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed1\selected.pt,884766dcf9a4707f42dc6099292eca03fffd03765d345cf5a65ce7a17bd75a19,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,1,2,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold1_seed2\selected.pt,f7f79dbde466a4471597194d03ef86d1b72b757d50a119331c82d8b7f78f9668,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,PRESENT_HASH_VERIFIED,
EEGNet,OpenBMI_ERP,2,0,D:\nips-temp\TotalP\P1\seven_backbone_fourtask_3seed_runtime\search_cells\openbmi_erp\eegnet\fold2_seed0\selected.pt,ffd6833609988d619825e0fcb74978d240924d22c7538ce7b5897e89b3b643d2,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,PRESENT_HASH_VERIFIED,
