model,task,input_shape,parameters,trainable_parameters,MACs,MACs_M,MACs_G,profiler,counting_convention,unsupported_major_ops,status,counted_operator_events,all_operator_names
EEGNet,OpenBMI_MI,"(1, 62, 1000)",34162,34162,32895872,32.895872,0.032895872,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:63744;closure::module_convolution:65728000,aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::constant_pad_nd;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::fill_;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::slice;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
EEGNet,OpenBMI_ERP,"(1, 62, 250)",9586,9586,8223040,8.22304,0.00822304,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:14592;closure::module_convolution:16431488,aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::constant_pad_nd;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::fill_;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::slice;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
EEGNet,OpenBMI_SSVEP,"(1, 62, 1000)",34292,34292,32896000,32.896,0.032896,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:64000;closure::module_convolution:65728000,aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::constant_pad_nd;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::fill_;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::slice;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
EEGNet,WBCIC_MI,"(1, 58, 1000)",34098,34098,30783872,30.783872,0.030783872,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::addmm:63744;closure::module_convolution:61504000,aten::_batch_norm_impl_index;aten::_convolution;aten::_convolution_mode;aten::_slow_conv2d_forward;aten::addmm;aten::as_strided;aten::as_strided_;aten::avg_pool2d;aten::batch_norm;aten::constant_pad_nd;aten::conv2d;aten::convolution;aten::copy_;aten::detach;aten::dropout;aten::elu;aten::empty;aten::empty_like;aten::expand;aten::fill_;aten::flatten;aten::layer_norm;aten::linear;aten::mkldnn_convolution;aten::narrow;aten::native_batch_norm;aten::native_layer_norm;aten::resize_;aten::resolve_conj;aten::slice;aten::t;aten::thnn_conv2d;aten::transpose;aten::unsqueeze;aten::view;closure::module_convolution
CBraMod,OpenBMI_MI,"(1, 62, 800)",4884202,4884002,,,,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,aten::_fft_r2c;aten::fft_rfft,UNRELIABLE_FFT_UNCOUNTED,aten::addmm:2033700000;aten::mm:357120000;aten::bmm:78566400;closure::module_convolution:32934400,aten::_convolution;aten::_fft_r2c;aten::_native_multi_head_attention;aten::_softmax;aten::_to_copy;aten::_transform_bias_rescale_qkv;aten::_unsafe_view;aten::abs;aten::add;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::concat;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::fft_rfft;aten::fill_;aten::gelu;aten::group_norm;aten::layer_norm;aten::linear;aten::mean;aten::mkldnn_convolution;aten::mm;aten::narrow;aten::native_group_norm;aten::native_layer_norm;aten::permute;aten::real;aten::reshape;aten::resize_;aten::resolve_conj;aten::select;aten::slice;aten::sum;aten::t;aten::to;aten::transpose;aten::view;aten::view_as_real;closure::module_convolution
CBraMod,OpenBMI_ERP,"(1, 62, 200)",4884202,4884002,,,,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,aten::_fft_r2c;aten::fft_rfft,UNRELIABLE_FFT_UNCOUNTED,aten::addmm:508425600;aten::mm:89280000;aten::bmm:18748800;closure::module_convolution:8233600,aten::_convolution;aten::_fft_r2c;aten::_native_multi_head_attention;aten::_slow_conv2d_forward;aten::_softmax;aten::_to_copy;aten::_transform_bias_rescale_qkv;aten::_unsafe_view;aten::abs;aten::add;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::concat;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::fft_rfft;aten::fill_;aten::gelu;aten::group_norm;aten::layer_norm;aten::linear;aten::mean;aten::mkldnn_convolution;aten::mm;aten::narrow;aten::native_group_norm;aten::native_layer_norm;aten::permute;aten::real;aten::reshape;aten::resize_;aten::resolve_conj;aten::select;aten::slice;aten::sum;aten::t;aten::thnn_conv2d;aten::to;aten::transpose;aten::view;aten::view_as_real;closure::module_convolution
CBraMod,OpenBMI_SSVEP,"(1, 62, 800)",4884604,4884404,,,,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,aten::_fft_r2c;aten::fft_rfft,UNRELIABLE_FFT_UNCOUNTED,aten::addmm:2033700800;aten::mm:357120000;aten::bmm:78566400;closure::module_convolution:32934400,aten::_convolution;aten::_fft_r2c;aten::_native_multi_head_attention;aten::_softmax;aten::_to_copy;aten::_transform_bias_rescale_qkv;aten::_unsafe_view;aten::abs;aten::add;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::concat;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::fft_rfft;aten::fill_;aten::gelu;aten::group_norm;aten::layer_norm;aten::linear;aten::mean;aten::mkldnn_convolution;aten::mm;aten::narrow;aten::native_group_norm;aten::native_layer_norm;aten::permute;aten::real;aten::reshape;aten::resize_;aten::resolve_conj;aten::select;aten::slice;aten::sum;aten::t;aten::to;aten::transpose;aten::view;aten::view_as_real;closure::module_convolution
CBraMod,WBCIC_MI,"(1, 58, 800)",4884202,4884002,,,,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,aten::_fft_r2c;aten::fft_rfft,UNRELIABLE_FFT_UNCOUNTED,aten::addmm:1902493600;aten::mm:334080000;aten::bmm:69043200;closure::module_convolution:30809600,aten::_convolution;aten::_fft_r2c;aten::_native_multi_head_attention;aten::_softmax;aten::_to_copy;aten::_transform_bias_rescale_qkv;aten::_unsafe_view;aten::abs;aten::add;aten::addmm;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::concat;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::fft_rfft;aten::fill_;aten::gelu;aten::group_norm;aten::layer_norm;aten::linear;aten::mean;aten::mkldnn_convolution;aten::mm;aten::narrow;aten::native_group_norm;aten::native_layer_norm;aten::permute;aten::real;aten::reshape;aten::resize_;aten::resolve_conj;aten::select;aten::slice;aten::sum;aten::t;aten::to;aten::transpose;aten::view;aten::view_as_real;closure::module_convolution
TeCh,OpenBMI_MI,"(1, 62, 1000)",793026,793026,131077888,131.077888,0.131077888,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:5472256;aten::addmm:240779776;closure::module_convolution:15903744,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::expand_as;aten::fill_;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mean;aten::mkldnn_convolution;aten::mul;aten::narrow;aten::native_layer_norm;aten::new_empty;aten::pad;aten::repeat;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::sum;aten::t;aten::to;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
TeCh,OpenBMI_ERP,"(1, 62, 250)",793026,793026,32965888,32.965888,0.032965888,torch.profiler/2.8.0+cu128/CPU/with_flops,one multiply-add pair = 1 MAC; counted ATen Conv/Matmul FLOPs divided by 2 after toy verification; elementwise/norm/pool/softmax excluded,,COUNTED_ATEN_CONV_MATMUL,aten::bmm:1376256;aten::addmm:60555776;closure::module_convolution:3999744,aten::_convolution;aten::_pad_circular;aten::_reshape_alias;aten::_softmax;aten::_to_copy;aten::_unsafe_view;aten::add;aten::add_;aten::addmm;aten::alias;aten::as_strided;aten::as_strided_;aten::bmm;aten::cat;aten::clone;aten::contiguous;aten::conv2d;aten::convolution;aten::copy_;aten::div_;aten::dropout;aten::empty;aten::empty_like;aten::empty_strided;aten::expand;aten::expand_as;aten::fill_;aten::gelu;aten::layer_norm;aten::linear;aten::matmul;aten::mean;aten::mkldnn_convolution;aten::mul;aten::narrow;aten::native_layer_norm;aten::new_empty;aten::pad;aten::repeat;aten::replication_pad1d;aten::reshape;aten::resize_;aten::resolve_conj;aten::slice;aten::softmax;aten::squeeze;aten::sum;aten::t;aten::to;aten::transpose;aten::unfold;aten::unsqueeze;aten::view;closure::module_convolution
