model,task,seed,coverage,protected_rank_by_fold,PSWA_pp,CI_low_pp,CI_high_pp,n_subjects,n_random_controls,status
ModernTCN,OpenBMI_MI,0,1/5,0;0;1;0;0,-0.10379464285714327,-2.2746651785714285,2.026785714285713,14,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
ModernTCN,OpenBMI_ERP,0,5/5,2;3;1;4;10,13.035044642857143,10.625401785714285,15.460948660714285,14,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
ModernTCN,OpenBMI_SSVEP,0,5/5,4;3;5;7;4,22.464428571428567,15.487560714285715,28.986492857142856,14,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
ModernTCN,WBCIC_MI,0,3/5,0;4;1;0;1,9.169791666666665,4.5723828125,13.944335937499991,10,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
Medformer,OpenBMI_MI,0,5/5,4;3;4;4;2,5.454910714285716,3.6578069196428564,7.263169642857144,14,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
Medformer,OpenBMI_ERP,0,5/5,5;8;4;5;6,8.132589285714285,6.971205357142857,9.22388950892857,14,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
Medformer,OpenBMI_SSVEP,0,5/5,8;6;6;8;8,28.373142857142856,24.214264285714286,31.848621428571423,14,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
Medformer,WBCIC_MI,0,5/5,4;2;4;4;4,12.0371875,6.956875000000001,17.563867187499987,10,100,COMPLETE_WITH_EMPTY_FOLDS_EXCLUDED
