task,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
WBCIC_MI,0,sub-18,LiteBN_BASELINE,0.62,0.6161616161616161,0.62,200,e9a5eca1747421e8ae128253854e8737fe29e83fe262f47191157540cc98a292,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-18,LiteBN_XNG,0.685,0.6821312343903732,0.685,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-22,LiteBN_BASELINE,0.725,0.7190939503051661,0.725,200,e9a5eca1747421e8ae128253854e8737fe29e83fe262f47191157540cc98a292,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-22,LiteBN_XNG,0.72,0.7186212440960708,0.72,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-35,LiteBN_BASELINE,0.9550000000000001,0.9549718574108819,0.955,200,e9a5eca1747421e8ae128253854e8737fe29e83fe262f47191157540cc98a292,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-35,LiteBN_XNG,0.93,0.92974708952228,0.93,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-44,LiteBN_BASELINE,0.8200000000000001,0.8191136569189026,0.82,200,e9a5eca1747421e8ae128253854e8737fe29e83fe262f47191157540cc98a292,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-44,LiteBN_XNG,0.79,0.7882851093860268,0.79,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-49,LiteBN_BASELINE,0.8899999999999999,0.8894583458948849,0.89,200,e9a5eca1747421e8ae128253854e8737fe29e83fe262f47191157540cc98a292,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-49,LiteBN_XNG,0.86,0.859873886497848,0.86,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-6,LiteBN_BASELINE,0.91,0.90999099909991,0.91,200,e9a5eca1747421e8ae128253854e8737fe29e83fe262f47191157540cc98a292,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-6,LiteBN_XNG,0.905,0.9047117530529852,0.905,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
