fold,method,BA,macro_F1,accuracy,subjects
0,LiteBN_XNG,0.7785714285714286,0.774724446067025,0.7785714285714286,7
1,LiteBN_XNG,0.7925,0.7877904631419419,0.7925,6
2,LiteBN_XNG,0.7566666666666667,0.7536153454087225,0.7566666666666667,6
3,LiteBN_XNG,0.8080923821548822,0.806141894628368,0.8080555555555556,6
4,LiteBN_XNG,0.7725,0.7689818105337904,0.7725,6
