subject_id,fold,LiteBN_BA,XNG_BA,delta_BA_pp,LiteBN_macro_F1,XNG_macro_F1,delta_macro_F1_pp
sub-1,2,0.925,0.925,0.0,0.9248478168290788,0.9248478168290788,0.0
sub-11,3,0.7749999999999999,0.67,-10.499999999999988,0.7740453415681253,0.6643271284711627,-10.971821309696262
sub-12,1,0.72,0.73,1.0000000000000009,0.7192982456140351,0.72997299729973,1.0674751685694872
sub-13,3,0.865,0.885,2.0000000000000018,0.8645903859174001,0.8849741191768148,2.038373325941467
sub-14,2,0.51,0.535,2.500000000000002,0.5087719298245614,0.528767956221023,1.9996026396461586
sub-16,4,0.575,0.5700000000000001,-0.49999999999998934,0.5523370638578011,0.5538956323270048,0.15585684692036583
sub-18,0,0.62,0.685,6.500000000000005,0.6161616161616161,0.6821312343903732,6.596961822875702
sub-22,0,0.725,0.72,-0.5000000000000004,0.7190939503051661,0.7186212440960708,-0.047270620909534156
sub-23,2,0.96,0.94,-2.0000000000000018,0.9599358974358975,0.939783219590526,-2.0152677845371447
sub-24,3,0.9285037878787878,0.9335542929292928,0.5050505050504972,0.9282032400589102,0.9333333333333332,0.5130093274423042
sub-26,3,0.675,0.65,-2.500000000000002,0.672040162466258,0.6457131288591963,-2.632703360706168
sub-27,4,0.64,0.62,-2.0000000000000018,0.6279454319966928,0.6153456827614131,-1.2599749235279734
sub-28,1,0.58,0.6900000000000001,11.00000000000001,0.5091164095371669,0.6710526315789473,16.193622204178048
sub-29,3,0.9450000000000001,0.88,-6.500000000000005,0.9449876222149984,0.8798919027124412,-6.509571950255721
sub-30,1,0.825,0.855,3.0000000000000027,0.8240100565681961,0.8533835536793144,2.937349711111825
sub-32,2,0.5900000000000001,0.675,8.499999999999996,0.5896306676008407,0.67499187479687,8.536120719602923
sub-34,2,0.58,0.525,-5.499999999999994,0.5727799816905706,0.513307205614898,-5.947277607567269
sub-35,0,0.9550000000000001,0.93,-2.500000000000002,0.9549718574108819,0.92974708952228,-2.522476788860184
sub-36,4,0.97,0.97,0.0,0.96999699969997,0.96999699969997,0.0
sub-37,1,0.845,0.76,-8.499999999999996,0.8446854881134297,0.7536945812807883,-9.099090683264144
sub-41,4,0.8600000000000001,0.865,0.49999999999998934,0.8594941790445605,0.8649155722326454,0.5421393188084878
sub-44,0,0.8200000000000001,0.79,-3.0000000000000027,0.8191136569189026,0.7882851093860268,-3.0828547532875783
sub-45,1,0.9,0.915,1.5000000000000013,0.9,0.9147420948368816,1.4742094836881603
sub-47,3,0.905,0.8300000000000001,-7.499999999999996,0.9048834822657756,0.8286117552172598,-7.627172704851581
sub-48,4,0.855,0.825,-3.0000000000000027,0.8549093183239524,0.8247853620685339,-3.0123956255418527
sub-49,0,0.8899999999999999,0.86,-2.9999999999999916,0.8894583458948849,0.859873886497848,-2.958445939703691
sub-5,4,0.815,0.785,-2.9999999999999916,0.8149583656322672,0.7849516141131755,-3.0006751519091712
sub-50,2,0.95,0.94,-1.0000000000000009,0.9499549594635172,0.93999399939994,-0.9960960063577162
sub-6,0,0.91,0.905,-0.5000000000000004,0.90999099909991,0.9047117530529852,-0.5279246046924757
sub-7,1,0.7949999999999999,0.8049999999999999,1.0000000000000009,0.7947485669945684,0.80389692017599,0.9148353181421598
sub-9,0,0.59,0.56,-2.9999999999999916,0.5849782366636299,0.5397008055235903,-4.5277431140039575
