task,fold,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
WBCIC_MI,0,sub-18,LiteBN_XNG,0.685,0.6821312343903732,0.685,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-22,LiteBN_XNG,0.72,0.7186212440960708,0.72,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-35,LiteBN_XNG,0.9299999999999999,0.9297470895222801,0.93,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-44,LiteBN_XNG,0.79,0.7882851093860268,0.79,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-49,LiteBN_XNG,0.86,0.859873886497848,0.86,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-6,LiteBN_XNG,0.905,0.9047117530529852,0.905,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,0,sub-9,LiteBN_XNG,0.56,0.5397008055235903,0.56,200,2d2b1d09697246d02eb46a9de974f68d0e2c386cd38c5940acf0d2dda9303e43,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b
WBCIC_MI,1,sub-12,LiteBN_XNG,0.73,0.72997299729973,0.73,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,1,sub-28,LiteBN_XNG,0.6900000000000001,0.6710526315789473,0.69,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,1,sub-30,LiteBN_XNG,0.855,0.8533835536793144,0.855,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,1,sub-37,LiteBN_XNG,0.76,0.7536945812807883,0.76,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,1,sub-45,LiteBN_XNG,0.915,0.9147420948368815,0.915,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,1,sub-7,LiteBN_XNG,0.8049999999999999,0.80389692017599,0.805,200,40d7c245cb37624f7b7c0e093c9fcd6fe4f1bfce5876d203b8a412a5fc60d849,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17
WBCIC_MI,2,sub-1,LiteBN_XNG,0.925,0.9248478168290788,0.925,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC_MI,2,sub-14,LiteBN_XNG,0.535,0.528767956221023,0.535,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC_MI,2,sub-23,LiteBN_XNG,0.94,0.9397832195905259,0.94,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
WBCIC_MI,2,sub-32,LiteBN_XNG,0.675,0.67499187479687,0.675,200,35d76b4fe63688eda6bf1150715ca9b0d8e5f967adde0affa880e7bd814ba4a5,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354
