dataset,seed,canonical_seed0_BA,cde_seed0_BA,B3_equal_conservative_BA,delta_BA,delta_pp,paired_CI95_L,paired_CI95_U,paired_CI95_L_pp,paired_CI95_U_pp,median_delta_pp,positive_subject_fraction,nonnegative_subject_fraction,INV_BA,GEO_BA,selected_alpha_inv_mean,selected_alpha_geo_mean
OpenBMI,0,0.8190740740740741,0.8190740740740741,0.8181481481481483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8135272727272727,0.8140545454545455,0.0,0.0
WBCIC,0,0.7862985033259424,0.7862985033259424,0.7879995072677999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.782109217171717,0.7835945391414141,0.0,0.0
