dataset,fold,alpha_inv,alpha_geo,mean_subject_BA,mean_CE,CVaR25_harm,ROBUST_LOSS,SE_subject,eligible_after_competence_gate,selected,inv_incompetent,geo_incompetent,best_robust_loss,SE_subject_best_candidate,one_SE_threshold,baseline_discovery_BA,inv_discovery_BA,geo_discovery_BA
OpenBMI,0,0.0,0.0,0.8077777777777777,0.4258702572451097,0.0,0.4258702572451097,0.076870460422671,True,True,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.0,0.05,0.8055555555555556,0.4261877288152196,0.0015710926336900872,0.4277588214489097,0.07701088912197503,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.0,0.1,0.8066666666666666,0.4265866595397877,0.003231996892135667,0.42981865643192335,0.07715719196945738,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.0,0.2,0.8033333333333333,0.42762314225973225,0.0068173135892017995,0.43444045584893404,0.0774674114776832,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.0,0.3,0.7977777777777777,0.4289683906731558,0.01074423855876927,0.43971262923192506,0.07780111034684191,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.05,0.0,0.8055555555555556,0.4258379989700217,0.0011741167203251541,0.42701211569034686,0.07708394394937233,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.05,0.05,0.8066666666666666,0.42623302679904324,0.002784516720459864,0.4290175435195031,0.07722932245902937,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.05,0.1,0.8055555555555556,0.4267081210946932,0.004532352359549639,0.4312404734542428,0.07738060588556629,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.05,0.2,0.8011111111111112,0.42789283199218153,0.0082872988232189,0.4361801308154004,0.0777008873623736,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.1,0.0,0.8055555555555556,0.4259224439057772,0.002459434949849052,0.4283818788556263,0.0773056157398478,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.1,0.05,0.8055555555555556,0.4263934177440782,0.004138881312983234,0.4305322990570614,0.07745602400535005,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.1,0.1,0.8022222222222221,0.4269430856569857,0.005971935338008133,0.4329150209949938,0.07761236991375083,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.1,0.2,0.7988888888888889,0.4282729086856751,0.009893146721251458,0.43816605540692655,0.0779428828313571,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.2,0.0,0.8044444444444445,0.4264323750143052,0.005464006549398011,0.4318963815637032,0.07777405312551318,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.2,0.05,0.8033333333333333,0.42705050461184973,0.007260676724790582,0.4343111813366403,0.07793476709255948,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.2,0.1,0.8011111111111111,0.42774464868271556,0.009259119077153941,0.4370037677598695,0.07810148989235925,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,0,0.3,0.0,0.8044444444444445,0.42738221815521865,0.008997616568216257,0.4363798347234349,0.07827681728495336,True,False,False,False,0.4258702572451097,0.076870460422671,0.5027407176677807,0.8077777777777777,0.7933333333333334,0.7899999999999999
OpenBMI,1,0.0,0.0,0.7511111111111112,0.5525141649658618,0.0,0.5525141649658618,0.09409044202755308,True,True,False,False,0.5525141649658618,0.09409044202755308,0.6466046069934149,0.7511111111111112,0.7488888888888889,0.7544444444444445
OpenBMI,1,0.0,0.05,0.7511111111111112,0.5545617699372216,0.005799667589166206,0.5603614375263878,0.09481836059055737,True,False,False,False,0.5525141649658618,0.09409044202755308,0.6466046069934149,0.7511111111111112,0.7488888888888889,0.7544444444444445
OpenBMI,1,0.0,0.1,0.7522222222222222,0.5567288515060776,0.01175157085223888,0.5684804223583165,0.09555791986352412,True,False,False,False,0.5525141649658618,0.09409044202755308,0.6466046069934149,0.7511111111111112,0.7488888888888889,0.7544444444444445
