dataset,fold,seed,control,subject_id,BA,accuracy,macro_F1,NLL,trials,alpha_inv,alpha_geo
OpenBMI,0,0,B0_CANONICAL_SEED0,13,0.76,0.76,0.7575757575757576,0.47369628024454263,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,14,0.76,0.76,0.7596153846153846,0.47796944110306006,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,19,0.6699999999999999,0.67,0.6440513428972063,0.6446105166525791,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,2,0.81,0.81,0.8099809980998101,0.3845960794702705,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,32,0.75,0.75,0.7497747973175859,0.6316021377339994,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,33,0.78,0.78,0.7726333195535345,0.40317034548028924,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,36,0.94,0.94,0.9399038461538461,0.17118394946886345,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,40,0.84,0.84,0.8368013055895553,0.3489617366858094,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,47,0.96,0.96,0.96,0.2223904743488298,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,50,0.5700000000000001,0.57,0.5174503422735944,0.9252882534451635,100,0.0,0.0
OpenBMI,0,0,B0_CANONICAL_SEED0,53,0.8,0.8,0.7992773986350863,0.40651371755644156,100,0.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,13,0.78,0.78,0.7756017951856384,0.46498024011579986,100,1.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,14,0.74,0.74,0.7390606182256123,0.5517423970489032,100,1.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,19,0.71,0.71,0.69662098545873,0.6056108684122854,100,1.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,2,0.79,0.79,0.7882851093860268,0.44842313905476255,100,1.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,32,0.73,0.73,0.7253585596582239,0.7208499757437362,100,1.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,33,0.8200000000000001,0.82,0.8181818181818181,0.3962647763295498,100,1.0,0.0
