dataset,fold,seed,subject_id,canonical_BA,cde_BA,delta_BA,delta_pp,cde_alpha_inv,cde_alpha_geo
OpenBMI,0,0,13,0.76,0.76,0.0,0.0,0.0,0.0
OpenBMI,0,0,14,0.76,0.76,0.0,0.0,0.0,0.0
OpenBMI,0,0,19,0.6699999999999999,0.6699999999999999,0.0,0.0,0.0,0.0
OpenBMI,0,0,2,0.81,0.81,0.0,0.0,0.0,0.0
OpenBMI,0,0,32,0.75,0.75,0.0,0.0,0.0,0.0
OpenBMI,0,0,33,0.78,0.78,0.0,0.0,0.0,0.0
OpenBMI,0,0,36,0.94,0.94,0.0,0.0,0.0,0.0
OpenBMI,0,0,40,0.84,0.84,0.0,0.0,0.0,0.0
OpenBMI,0,0,47,0.96,0.96,0.0,0.0,0.0,0.0
OpenBMI,0,0,50,0.5700000000000001,0.5700000000000001,0.0,0.0,0.0,0.0
OpenBMI,0,0,53,0.8,0.8,0.0,0.0,0.0,0.0
OpenBMI,1,0,1,0.77,0.77,0.0,0.0,0.0,0.0
OpenBMI,1,0,10,0.77,0.77,0.0,0.0,0.0,0.0
OpenBMI,1,0,16,0.84,0.84,0.0,0.0,0.0,0.0
OpenBMI,1,0,25,1.0,1.0,0.0,0.0,0.0,0.0
OpenBMI,1,0,35,0.8,0.8,0.0,0.0,0.0,0.0
OpenBMI,1,0,42,0.78,0.78,0.0,0.0,0.0,0.0
OpenBMI,1,0,43,0.9099999999999999,0.9099999999999999,0.0,0.0,0.0,0.0
OpenBMI,1,0,45,0.92,0.92,0.0,0.0,0.0,0.0
OpenBMI,1,0,48,0.61,0.61,0.0,0.0,0.0,0.0
OpenBMI,1,0,5,0.79,0.79,0.0,0.0,0.0,0.0
OpenBMI,1,0,6,0.96,0.96,0.0,0.0,0.0,0.0
OpenBMI,2,0,18,0.8500000000000001,0.8500000000000001,0.0,0.0,0.0,0.0
OpenBMI,2,0,22,0.75,0.75,0.0,0.0,0.0,0.0
OpenBMI,2,0,26,0.89,0.89,0.0,0.0,0.0,0.0
OpenBMI,2,0,29,0.81,0.81,0.0,0.0,0.0,0.0
OpenBMI,2,0,34,0.7,0.7,0.0,0.0,0.0,0.0
OpenBMI,2,0,4,0.8200000000000001,0.8200000000000001,0.0,0.0,0.0,0.0
OpenBMI,2,0,44,0.87,0.87,0.0,0.0,0.0,0.0
OpenBMI,2,0,51,0.8,0.8,0.0,0.0,0.0,0.0
OpenBMI,2,0,52,0.79,0.79,0.0,0.0,0.0,0.0
OpenBMI,2,0,54,0.78,0.78,0.0,0.0,0.0,0.0
OpenBMI,2,0,7,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0,0.0
OpenBMI,3,0,15,0.9,0.9,0.0,0.0,0.0,0.0
OpenBMI,3,0,17,0.6799999999999999,0.6799999999999999,0.0,0.0,0.0,0.0
OpenBMI,3,0,20,0.9199999999999999,0.9199999999999999,0.0,0.0,0.0,0.0
OpenBMI,3,0,21,0.97,0.97,0.0,0.0,0.0,0.0
OpenBMI,3,0,24,0.59,0.59,0.0,0.0,0.0,0.0
