dataset,fold,seed,control,mean_subject_BA,mean_accuracy,mean_macro_F1,mean_NLL,n_subjects,alpha_inv,alpha_geo
OpenBMI,0,0,B0_CANONICAL_SEED0,0.7854545454545455,0.7854545454545455,0.7770058629737602,0.462725721108168,11,0.0,0.0
OpenBMI,0,0,B1_INV_ONLY_DIAGNOSTIC,0.7899999999999999,0.7899999999999999,0.7832067382800344,0.4835473103118321,11,1.0,0.0
OpenBMI,0,0,B2_GEO_ONLY_DIAGNOSTIC,0.7827272727272728,0.7827272727272728,0.7743970960173923,0.4835133848224677,11,0.0,1.0
OpenBMI,0,0,B3_EQUAL_CONSERVATIVE,0.7872727272727272,0.7872727272727272,0.7796006130409221,0.4626571719141869,11,0.1,0.1
OpenBMI,0,0,B4_SELECTED_CDE,0.7854545454545455,0.7854545454545455,0.7770058629737602,0.462725721108168,11,0.0,0.0
OpenBMI,1,0,B0_CANONICAL_SEED0,0.8318181818181819,0.8318181818181819,0.8288205507372848,0.38525616616374714,11,0.0,0.0
OpenBMI,1,0,B1_INV_ONLY_DIAGNOSTIC,0.8263636363636365,0.8263636363636365,0.8224257890801738,0.4056692125160804,11,1.0,0.0
OpenBMI,1,0,B2_GEO_ONLY_DIAGNOSTIC,0.8372727272727272,0.8372727272727272,0.8347692764710755,0.3838805289979707,11,0.0,1.0
OpenBMI,1,0,B3_EQUAL_CONSERVATIVE,0.8336363636363636,0.8336363636363636,0.8304629067738005,0.38425393620550313,11,0.1,0.1
OpenBMI,1,0,B4_SELECTED_CDE,0.8318181818181819,0.8318181818181819,0.8288205507372848,0.38525616616374714,11,0.0,0.0
OpenBMI,2,0,B0_CANONICAL_SEED0,0.8145454545454545,0.8145454545454545,0.812151079868205,0.4379936924714923,11,0.0,0.0
OpenBMI,2,0,B1_INV_ONLY_DIAGNOSTIC,0.8009090909090908,0.8009090909090908,0.7983227511151746,0.4695394522234136,11,1.0,0.0
OpenBMI,2,0,B2_GEO_ONLY_DIAGNOSTIC,0.8009090909090909,0.8009090909090909,0.7986231359502671,0.4478998426007811,11,0.0,1.0
OpenBMI,2,0,B3_EQUAL_CONSERVATIVE,0.8072727272727271,0.8072727272727271,0.8047699075180332,0.4379797466307018,11,0.1,0.1
OpenBMI,2,0,B4_SELECTED_CDE,0.8145454545454545,0.8145454545454545,0.812151079868205,0.4379936924714923,11,0.0,0.0
OpenBMI,3,0,B0_CANONICAL_SEED0,0.8245454545454544,0.8245454545454546,0.8167452899314113,0.4202730776750029,11,0.0,0.0
OpenBMI,3,0,B1_INV_ONLY_DIAGNOSTIC,0.8163636363636364,0.8163636363636364,0.8070436579812609,0.48633884036536196,11,1.0,0.0
OpenBMI,3,0,B2_GEO_ONLY_DIAGNOSTIC,0.8163636363636363,0.8163636363636363,0.8071456631742283,0.4589000699210949,11,0.0,1.0
OpenBMI,3,0,B3_EQUAL_CONSERVATIVE,0.8227272727272726,0.8227272727272726,0.8142507949143394,0.4272052327535871,11,0.1,0.1
OpenBMI,3,0,B4_SELECTED_CDE,0.8245454545454544,0.8245454545454546,0.8167452899314113,0.4202730776750029,11,0.0,0.0
OpenBMI,4,0,B0_CANONICAL_SEED0,0.841,0.841,0.8393273514301536,0.37786997093083036,10,0.0,0.0
OpenBMI,4,0,B1_INV_ONLY_DIAGNOSTIC,0.834,0.834,0.8325160728783965,0.3963476124989208,10,1.0,0.0
OpenBMI,4,0,B2_GEO_ONLY_DIAGNOSTIC,0.833,0.833,0.8313879513176439,0.37799179371154856,10,0.0,1.0
OpenBMI,4,0,B3_EQUAL_CONSERVATIVE,0.842,0.842,0.8402446150876818,0.3765867769763394,10,0.1,0.1
OpenBMI,4,0,B4_SELECTED_CDE,0.841,0.841,0.8393273514301536,0.37786997093083036,10,0.0,0.0
WBCIC,0,0,B0_CANONICAL_SEED0,0.8005555555555556,0.8005555555555556,0.799312799268262,0.4022529569979496,9,0.0,0.0
WBCIC,0,0,B1_INV_ONLY_DIAGNOSTIC,0.8027777777777777,0.8027777777777777,0.8019413785895657,0.4002935492951947,9,1.0,0.0
WBCIC,0,0,B2_GEO_ONLY_DIAGNOSTIC,0.8038888888888889,0.8038888888888889,0.8028613224334347,0.39804388015529535,9,0.0,1.0
WBCIC,0,0,B3_EQUAL_CONSERVATIVE,0.8033333333333333,0.8033333333333333,0.8020033575753719,0.3979715633017429,9,0.1,0.1
WBCIC,0,0,B4_SELECTED_CDE,0.8005555555555556,0.8005555555555556,0.799312799268262,0.4022529569979496,9,0.0,0.0
WBCIC,1,0,B0_CANONICAL_SEED0,0.77125,0.77125,0.7654361540904364,0.4424479282309581,8,0.0,0.0
WBCIC,1,0,B1_INV_ONLY_DIAGNOSTIC,0.7818749999999999,0.781875,0.7808056009306863,0.4142421289795505,8,1.0,0.0
WBCIC,1,0,B2_GEO_ONLY_DIAGNOSTIC,0.77875,0.77875,0.7762531814496438,0.41935355633941485,8,0.0,1.0
WBCIC,1,0,B3_EQUAL_CONSERVATIVE,0.77625,0.77625,0.7716902087990998,0.43191899050470606,8,0.1,0.1
WBCIC,1,0,B4_SELECTED_CDE,0.77125,0.77125,0.7654361540904364,0.4424479282309581,8,0.0,0.0
WBCIC,2,0,B0_CANONICAL_SEED0,0.786875,0.786875,0.7862666404340557,0.4369994484411739,8,0.0,0.0
WBCIC,2,0,B1_INV_ONLY_DIAGNOSTIC,0.7725,0.7725,0.7715020811140618,0.4659383871381283,8,1.0,0.0
WBCIC,2,0,B2_GEO_ONLY_DIAGNOSTIC,0.7825,0.7825,0.7803952421199624,0.44707810014629434,8,0.0,1.0
WBCIC,2,0,B3_EQUAL_CONSERVATIVE,0.78875,0.78875,0.7882453842291828,0.4363267812444601,8,0.1,0.1
WBCIC,2,0,B4_SELECTED_CDE,0.786875,0.786875,0.7862666404340557,0.4369994484411739,8,0.0,0.0
WBCIC,3,0,B0_CANONICAL_SEED0,0.7854048295454545,0.7854166666666667,0.7846155358636941,0.4067854659564972,8,0.0,0.0
WBCIC,3,0,B1_INV_ONLY_DIAGNOSTIC,0.7683933080808081,0.7684455128205128,0.7670725705676278,0.4540106455145837,8,1.0,0.0
WBCIC,3,0,B2_GEO_ONLY_DIAGNOSTIC,0.7665838068181818,0.7665865384615385,0.7658235547262743,0.4347810651715589,8,0.0,1.0
WBCIC,3,0,B3_EQUAL_CONSERVATIVE,0.7809974747474747,0.7810096153846153,0.7802775008310017,0.4114747169097559,8,0.1,0.1
WBCIC,3,0,B4_SELECTED_CDE,0.7854048295454545,0.7854166666666667,0.7846155358636941,0.4067854659564972,8,0.0,0.0
WBCIC,4,0,B0_CANONICAL_SEED0,0.785625,0.785625,0.78461347108325,0.4354520824564485,8,0.0,0.0
WBCIC,4,0,B1_INV_ONLY_DIAGNOSTIC,0.7849999999999999,0.7849999999999999,0.7836045760984878,0.4394140683026119,8,1.0,0.0
WBCIC,4,0,B2_GEO_ONLY_DIAGNOSTIC,0.78625,0.78625,0.7858528135609772,0.43947251977252555,8,0.0,1.0
