dataset,fold,seed,alpha_inv,alpha_geo,inv_incompetent,geo_incompetent,inv_BA,inv_NLL,geo_BA,geo_NLL,cde_BA,cde_NLL,inv_vs_base_disagreement_rate,geo_vs_base_disagreement_rate,inv_vs_geo_disagreement_rate,cde_vs_base_disagreement_rate,inv_rescue_rate_on_base_errors,geo_rescue_rate_on_base_errors,cde_rescue_rate_on_base_errors,inv_corruption_rate_on_base_correct,geo_corruption_rate_on_base_correct,cde_corruption_rate_on_base_correct
OpenBMI,0,0,0.0,0.0,False,False,0.7899999999999999,0.4835473103118321,0.7827272727272728,0.4835133848224677,0.7854545454545455,0.462725721108168,0.07363636363636364,0.057272727272727274,0.05272727272727273,0.0,0.18220338983050846,0.1271186440677966,0.0,0.04398148148148148,0.03819444444444445,0.0
OpenBMI,1,0,0.0,0.0,False,False,0.8263636363636365,0.4056692125160804,0.8372727272727272,0.3838805289979707,0.8318181818181819,0.38525616616374714,0.034545454545454546,0.03090909090909091,0.038181818181818185,0.0,0.08648648648648649,0.10810810810810811,0.0,0.024043715846994537,0.015300546448087432,0.0
OpenBMI,2,0,0.0,0.0,False,False,0.8009090909090908,0.4695394522234136,0.8009090909090909,0.4478998426007811,0.8145454545454545,0.4379936924714923,0.06818181818181818,0.053636363636363635,0.045454545454545456,0.0,0.14705882352941177,0.10784313725490197,0.0,0.05022321428571429,0.041294642857142856,0.0
OpenBMI,3,0,0.0,0.0,False,False,0.8163636363636364,0.48633884036536196,0.8163636363636363,0.4589000699210949,0.8245454545454544,0.4202730776750029,0.05181818181818182,0.04090909090909091,0.04727272727272727,0.0,0.12435233160621761,0.09326424870466321,0.0,0.03638368246968027,0.029768467475192944,0.0
OpenBMI,4,0,0.0,0.0,False,False,0.834,0.3963476124989208,0.833,0.37799179371154856,0.841,0.37786997093083036,0.043,0.044,0.027,0.0,0.11320754716981132,0.11320754716981132,0.0,0.029726516052318668,0.030915576694411414,0.0
WBCIC,0,0,0.0,0.0,False,False,0.8027777777777777,0.4002935492951947,0.8038888888888889,0.39804388015529535,0.8005555555555556,0.4022529569979496,0.05444444444444444,0.05555555555555555,0.035555555555555556,0.0,0.14206128133704735,0.14763231197771587,0.0,0.03261623872310895,0.03261623872310895,0.0
WBCIC,1,0,0.0,0.0,False,False,0.7818749999999999,0.4142421289795505,0.77875,0.41935355633941485,0.77125,0.4424479282309581,0.095625,0.07125,0.044375,0.0,0.23224043715846995,0.1721311475409836,0.0,0.055105348460291734,0.041329011345218804,0.0
WBCIC,2,0,0.0,0.0,False,False,0.7725,0.4659383871381283,0.7825,0.44707810014629434,0.786875,0.4369994484411739,0.091875,0.091875,0.05,0.0,0.18181818181818182,0.20527859237536658,0.0,0.06751389992057188,0.06115965051628276,0.0
WBCIC,3,0,0.0,0.0,False,False,0.7683933080808081,0.4540106455145837,0.7665838068181818,0.4347810651715589,0.7854048295454545,0.4067854659564972,0.07210031347962383,0.06018808777429467,0.04827586206896552,0.0,0.1282798833819242,0.09620991253644315,0.0,0.05670926517571885,0.050319488817891375,0.0
WBCIC,4,0,0.0,0.0,False,False,0.7849999999999999,0.4394140683026119,0.78625,0.43947251977252555,0.785625,0.4354520824564485,0.064375,0.069375,0.04875,0.0,0.14868804664723032,0.16326530612244897,0.0,0.04136833731105807,0.04375497215592681,0.0
