fold,subject,n_S3_trials,baseline_BA,baseline_CE
0,sub-1,200,0.86,0.5402853150689905
0,sub-3,200,0.7849999999999999,0.580373758085719
0,sub-5,200,0.74,0.5150547867706613
0,sub-16,200,0.535,0.7068604702531283
0,sub-19,200,0.925,0.3870889648113227
0,sub-21,200,0.8200000000000001,0.5005852963282195
0,sub-28,200,0.525,0.659095926028114
0,sub-33,200,0.9099999999999999,0.43034160829357726
0,sub-37,200,0.7949999999999999,0.5452630749230463
1,sub-2,200,0.78,0.5211728782374057
1,sub-11,200,0.755,0.5612376938227727
1,sub-13,200,0.855,0.3062995360924038
1,sub-18,200,0.635,0.7614699330924379
1,sub-27,200,0.575,0.7225975405375212
1,sub-36,200,0.985,0.05572499007782725
1,sub-44,200,0.815,0.4285565311528132
1,sub-45,200,0.95,0.13652770102029152
2,sub-9,200,0.605,0.7969311217901996
2,sub-22,200,0.775,0.441359601522535
2,sub-25,200,0.985,0.04665953245614067
2,sub-26,200,0.75,0.5122229769333009
2,sub-29,200,0.8,0.47929951767900925
2,sub-34,200,0.565,0.8660566151963088
2,sub-35,200,0.935,0.15040629445890957
2,sub-49,200,0.935,0.20857913490973423
3,sub-6,200,0.925,0.15280303691634312
3,sub-23,200,0.97,0.07965996600283702
3,sub-24,195,0.9176136363636365,0.22320765559855707
3,sub-30,200,0.875,0.3004713856638994
3,sub-31,200,0.5700000000000001,0.911319655232978
3,sub-38,200,0.48,0.8237133737072311
3,sub-41,200,0.8400000000000001,0.3447734592030439
3,sub-42,200,0.69,0.5576254537536588
4,sub-7,200,0.8200000000000001,0.37913805126459266
4,sub-12,200,0.73,0.47090507207391497
4,sub-14,200,0.575,0.7179192109935024
4,sub-17,200,0.81,0.3781882874936477
4,sub-32,200,0.61,0.6795142084881263
4,sub-47,200,0.935,0.2774019241295129
4,sub-48,200,0.78,0.43509816067171686
4,sub-50,200,0.935,0.15118463927234221
