config,fold,subject,n_S3_trials,balanced_accuracy,cross_entropy
EEGNET_STD,0,sub-1,200,0.9450000000000001,0.2572315395734539
EEGNET_STD,0,sub-3,200,0.87,0.31680593053341655
EEGNET_STD,0,sub-5,200,0.785,0.4355034569717144
EEGNET_STD,0,sub-16,200,0.565,0.7866740942358947
EEGNET_STD,0,sub-19,200,0.95,0.1523660637535479
EEGNET_STD,0,sub-21,200,0.8600000000000001,0.27721123034274453
EEGNET_STD,0,sub-28,200,0.6799999999999999,0.6293949760997088
EEGNET_STD,0,sub-33,200,0.97,0.10575147378396373
EEGNET_STD,0,sub-37,200,0.845,0.44934236963228585
EEGNET_STD,1,sub-2,200,0.6699999999999999,0.6598907832569588
EEGNET_STD,1,sub-11,200,0.6499999999999999,0.6635559256157157
EEGNET_STD,1,sub-13,200,0.8049999999999999,0.6412127729093428
EEGNET_STD,1,sub-18,200,0.535,0.6788831786968769
EEGNET_STD,1,sub-27,200,0.51,0.6926152275706124
EEGNET_STD,1,sub-36,200,0.865,0.6163747255653843
EEGNET_STD,1,sub-44,200,0.7649999999999999,0.6455399219568828
EEGNET_STD,1,sub-45,200,0.885,0.6036400629041836
EEGNET_STD,2,sub-9,200,0.59,0.7072181858052079
EEGNET_STD,2,sub-22,200,0.76,0.5468206697964549
EEGNET_STD,2,sub-25,200,0.985,0.04238731541783629
EEGNET_STD,2,sub-26,200,0.77,0.5814133983697555
EEGNET_STD,2,sub-29,200,0.835,0.3674609421246724
EEGNET_STD,2,sub-34,200,0.5449999999999999,0.759659161624746
EEGNET_STD,2,sub-35,200,0.935,0.14982070341522713
EEGNET_STD,2,sub-49,200,0.915,0.2197819306972021
EEGNET_STD,3,sub-6,200,0.93,0.14837203043988859
EEGNET_STD,3,sub-23,200,0.9550000000000001,0.10786004199288883
EEGNET_STD,3,sub-24,195,0.9026199494949495,0.21306518681171172
EEGNET_STD,3,sub-30,200,0.81,0.37612262001701524
EEGNET_STD,3,sub-31,200,0.58,0.7090737377217416
EEGNET_STD,3,sub-38,200,0.43,0.7281862491627871
EEGNET_STD,3,sub-41,200,0.845,0.2936922355095479
EEGNET_STD,3,sub-42,200,0.715,0.5704897770397763
EEGNET_STD,4,sub-7,200,0.8,0.38474957350656125
EEGNET_STD,4,sub-12,200,0.75,0.4548905112784442
EEGNET_STD,4,sub-14,200,0.525,0.7305305659010449
EEGNET_STD,4,sub-17,200,0.8300000000000001,0.35829826468263803
EEGNET_STD,4,sub-32,200,0.53,0.7476908081937432
EEGNET_STD,4,sub-47,200,0.965,0.17259887075199948
EEGNET_STD,4,sub-48,200,0.755,0.4850075668086303
EEGNET_STD,4,sub-50,200,0.9550000000000001,0.12306290063739195
EEGNET_STABLE,0,sub-1,200,0.915,0.28580523442463346
EEGNET_STABLE,0,sub-3,200,0.875,0.3238612345002796
EEGNET_STABLE,0,sub-5,200,0.78,0.42702077931077953
EEGNET_STABLE,0,sub-16,200,0.525,0.79340911754936
EEGNET_STABLE,0,sub-19,200,0.94,0.16850969613820768
EEGNET_STABLE,0,sub-21,200,0.835,0.3450376464694582
EEGNET_STABLE,0,sub-28,200,0.665,0.5736187842721043
EEGNET_STABLE,0,sub-33,200,0.945,0.1319095742788174
EEGNET_STABLE,0,sub-37,200,0.87,0.3558753095200824
EEGNET_STABLE,1,sub-2,200,0.755,0.5345671579121598
EEGNET_STABLE,1,sub-11,200,0.69,0.5545156445436078
EEGNET_STABLE,1,sub-13,200,0.895,0.25080269213339984
EEGNET_STABLE,1,sub-18,200,0.66,0.6353649364795182
EEGNET_STABLE,1,sub-27,200,0.625,0.7142302849721447
EEGNET_STABLE,1,sub-36,200,0.985,0.05185736499104907
EEGNET_STABLE,1,sub-44,200,0.825,0.37574452855374113
EEGNET_STABLE,1,sub-45,200,0.9450000000000001,0.17470161616978308
EEGNET_STABLE,2,sub-9,200,0.58,0.7444907077773713
EEGNET_STABLE,2,sub-22,200,0.73,0.5637130870820382
EEGNET_STABLE,2,sub-25,200,0.98,0.043196283721850116
EEGNET_STABLE,2,sub-26,200,0.7250000000000001,0.581160311568206
EEGNET_STABLE,2,sub-29,200,0.885,0.29690507168134894
EEGNET_STABLE,2,sub-34,200,0.56,0.7659437377700457
EEGNET_STABLE,2,sub-35,200,0.935,0.1631676507769125
EEGNET_STABLE,2,sub-49,200,0.9099999999999999,0.24447321050971765
EEGNET_STABLE,3,sub-6,200,0.91,0.1965269323307178
EEGNET_STABLE,3,sub-23,200,0.97,0.07962173999553607
EEGNET_STABLE,3,sub-24,195,0.9335542929292929,0.16606630358589639
EEGNET_STABLE,3,sub-30,200,0.855,0.3870942901185446
EEGNET_STABLE,3,sub-31,200,0.5700000000000001,0.7701906431223234
EEGNET_STABLE,3,sub-38,200,0.46499999999999997,0.7440560083334163
EEGNET_STABLE,3,sub-41,200,0.86,0.28319692994985357
EEGNET_STABLE,3,sub-42,200,0.71,0.6018754248042525
EEGNET_STABLE,4,sub-7,200,0.7849999999999999,0.3925476586761608
EEGNET_STABLE,4,sub-12,200,0.73,0.46598039635515187
EEGNET_STABLE,4,sub-14,200,0.585,0.7644001438870386
EEGNET_STABLE,4,sub-17,200,0.83,0.3690215324967168
EEGNET_STABLE,4,sub-32,200,0.595,0.7865975342626038
EEGNET_STABLE,4,sub-47,200,0.95,0.15563595783944778
EEGNET_STABLE,4,sub-48,200,0.815,0.4013337774061979
EEGNET_STABLE,4,sub-50,200,0.97,0.10288967871085529
