block,rank,H1,H2,H3,H4,H5,all_H1_H5,protected_utility_gate,assignment,action
P01_04,4,True,False,True,False,False,False,True,PROTECTED,PRESERVE
P05_08,4,True,True,False,False,False,False,False,DECISION-NULL / WEAKLY ACTIVE,NO_OP
P09_16,8,False,False,False,False,False,False,False,UNCERTAIN,NO_OP
P17_32,16,False,False,False,False,False,False,False,UNCERTAIN,NO_OP
