block,rank,u_abs_mean,u_abs_CI95_L,u_abs_CI95_U,u_spec_mean,u_spec_CI95_L,u_spec_CI95_U,p_raw_harmful,p_raw_protected,p_holm_harmful,p_holm_protected
P01_04,4,0.09539911535179602,0.05641461547008601,0.1352890149896086,0.054955166561552506,0.021258108087184466,0.08958960217846737,0.998460015399846,0.0017499825001749982,1.0,0.005249947500524994
P05_08,4,-0.002265079187178401,-0.009376004198418341,0.003972866013305887,-0.004660334256390022,-0.008421999528946318,-0.0015572163982899745,0.002999970000299997,0.996790032099679,0.011999880001199987,0.996790032099679
P09_16,8,0.002538322586840509,-0.00183235618864403,0.006862993115949585,0.0024505711105036227,-0.0007029972477859249,0.005897210058486491,0.9210807891921081,0.07943920560794392,1.0,0.15887841121588783
P17_32,16,0.12767593368419144,0.07686049714258528,0.1795985338429845,0.07790885605857491,0.04384030358613046,0.11401192932592634,1.0,1.999980000199998e-05,1.0,7.999920000799993e-05
