fold,block,subject,candidate_persistence,random_persistence_mean,persistence_specific
0,P01_04,sub-2,0.37520242465300285,0.3724455986338287,0.0027568260191740968
0,P01_04,sub-11,0.20979510589855851,0.2003546923395937,0.009440413558964827
0,P01_04,sub-13,0.11912718251483606,0.11884058552832785,0.000286596986508153
0,P01_04,sub-18,0.23016013217348588,0.19662370081844702,0.03353643135503889
0,P01_04,sub-27,0.2242141523383901,0.20322894117096038,0.020985211167429713
0,P01_04,sub-36,0.3413843441686541,0.321816681054006,0.01956766311464797
0,P01_04,sub-44,0.21649219678021697,0.2095385887939516,0.006953607986265292
0,P01_04,sub-45,0.10241163880873241,0.07969877246449375,0.02271286634423865
0,P05_08,sub-2,0.00042397548671181456,0.0003604570359298266,6.3518450781988e-05
0,P05_08,sub-11,0.0006933341922569138,0.00044590205729465494,0.00024743213496225867
0,P05_08,sub-13,0.0010000545001513375,0.0003811052215728194,0.000618949278578518
0,P05_08,sub-18,0.0009334972712679339,0.0014430825796878926,-0.0005095853084199591
0,P05_08,sub-27,0.0011167575651493302,0.0007056742927684271,0.0004110832723809032
0,P05_08,sub-36,0.0009826144194455546,0.0015252963263486525,-0.0005426819069030983
0,P05_08,sub-44,0.0023926812805531144,-0.0006686209939880594,0.003061302274541174
0,P05_08,sub-45,0.0010591719557603032,0.001267347479240208,-0.0002081755234799056
0,P09_16,sub-2,-5.269345563012973e-32,2.8223060415743986e-31,-3.3492405978756957e-31
0,P09_16,sub-11,-2.3090873430586546e-32,5.707610731662446e-32,-8.0166980747211e-32
0,P09_16,sub-13,3.4571887995999455e-32,-3.2053951808133417e-31,3.5511140607733356e-31
0,P09_16,sub-18,-5.125931207848155e-32,2.396413592185993e-31,-2.9090067129708094e-31
0,P09_16,sub-27,9.797780417824191e-32,2.5382770291974026e-31,-1.558498987414984e-31
0,P09_16,sub-36,-3.961473207924298e-32,3.981898427024641e-31,-4.3780457478170705e-31
0,P09_16,sub-44,-3.786259255510246e-32,-1.360767460297271e-31,9.821415347462458e-32
0,P09_16,sub-45,4.9017607392511204e-32,1.687279539206938e-31,-1.1971034652818258e-31
0,P17_32,sub-2,0.008475809312579304,0.010933387906839238,-0.002457578594259935
