version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V0,V0__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8373809523809523,0.8372857142857143,9.523809523810378e-05,0.001027953959282017,2,2,2,4
V0,V0__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8381904761904762,0.8372857142857143,0.0009047619047619193,0.0008702698515474748,3,2,2,3
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8387619047619047,0.8372857142857143,0.0014761904761904977,0.0031094909937741835,3,5,2,2
V0,V0__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8387857142857144,0.8372857142857143,0.0015000000000000347,0.003835920452027876,3,0,2,1
V0,V0__lg1__ld0.01__lr0.0001__b8,stage2,1.0,0.01,0.0001,8,0.8379047619047618,0.8371904761904763,0.0007142857142857561,0.0007824607964359812,3,2,2,1
V0,V0__lg1__ld0.01__lr0.0003__b8,stage2,1.0,0.01,0.0003,8,0.8386428571428572,0.836,0.002642857142857169,0.0025515101570702703,4,0,0,1
V0,V0__lg1__ld0.1__lr0.0001__b8,stage2,1.0,0.1,0.0001,8,0.8379047619047618,0.8371904761904763,0.0007142857142857561,0.0007824607964359812,3,2,2,1
V0,V0__lg1__ld0.1__lr0.0003__b8,stage2,1.0,0.1,0.0003,8,0.8387857142857144,0.8372857142857143,0.0015000000000000347,0.003835920452027876,3,0,2,1
V0,V0__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8380714285714286,0.8371904761904763,0.0008809523809524267,0.0006966066113489656,4,3,2,2
V0,V0__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8384761904761906,0.836,0.0024761904761904986,0.0022365749649176088,4,0,0,2
V0,V0__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8379285714285715,0.8371904761904763,0.000738095238095271,0.0007839084587216638,3,3,2,2
V0,V0__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8387619047619047,0.8372857142857143,0.0014761904761904977,0.0031094909937741835,3,5,2,2
