fold,seed,task,block,inner_split,utility_CE,BA_drop,random_draws,persistence_supported
2,1,mi,0,0,-2.4715138598807584e-05,0.0019607843137254832,100,True
2,1,mi,0,1,-0.00017702981176836996,-0.005928853754940677,100,True
2,1,mi,0,2,-0.00026274726204467136,-0.001880270758989333,100,True
2,1,mi,0,3,-0.002187262068509277,0.0020000000000000018,100,True
2,1,mi,0,4,0.0005006271237642523,-0.0060163850486431025,100,True
2,1,mi,1,0,-0.000490318734087225,-0.00212084833933579,100,True
2,1,mi,1,1,-0.00090417422349931,0.013737978268870688,100,True
2,1,mi,1,2,-0.0013228637824175271,4.800691299533533e-05,100,True
2,1,mi,1,3,-0.0004925919949463342,0.0020000000000000018,100,True
2,1,mi,1,4,-0.00025501741499295294,0.001952124935995947,100,True
2,1,mi,2,0,0.006225673162822187,-0.0016406562625050913,100,True
2,1,mi,2,1,0.003782991664605051,0.02164311660879159,100,True
2,1,mi,2,2,0.009950145582639625,-0.007041013906002647,100,True
2,1,mi,2,3,0.009140488176442974,0.02200000000000002,100,True
2,1,mi,2,4,0.003974445664485626,-0.00214413722478235,100,True
2,1,mi,3,0,-0.00289067386185049,-0.021488595438175384,100,True
2,1,mi,3,1,-0.008070517858716375,0.010073450576883025,100,True
2,1,mi,3,2,0.0002936664233746944,0.006552943623881813,100,True
2,1,mi,3,3,-0.0038881477354079097,0.0040000000000000036,100,True
2,1,mi,3,4,-0.0065541343088730275,-0.024257552483358924,100,True
2,1,mi,4,0,0.11525061725654273,0.09083633453381346,100,True
2,1,mi,4,1,0.08581495540598083,0.12290569842057253,100,True
2,1,mi,4,2,0.07547022668745496,0.10879166599990397,100,True
2,1,mi,4,3,0.046931897966298486,0.08400000000000007,100,True
2,1,mi,4,4,0.09087642104938581,0.09559011776753723,100,True
2,1,mi,5,0,0.03252698503750173,0.026050420168067245,100,True
2,1,mi,5,1,0.02202686606360671,0.06386519658830869,100,True
2,1,mi,5,2,0.01677410576560634,0.01657838728776939,100,True
2,1,mi,5,3,0.008642210941750661,0.016000000000000014,100,True
2,1,mi,5,4,0.015668747584249354,0.01596902201740913,100,True
2,1,mi,6,0,0.017777911158653625,-0.004481792717086819,100,False
2,1,mi,6,1,0.028544795765356845,0.045166503976572625,100,False
2,1,mi,6,2,0.015643611240823474,0.016098318157814706,100,False
2,1,mi,6,3,0.02247676947313304,0.01200000000000001,100,False
2,1,mi,6,4,0.018022412090844042,0.017793138760880733,100,False
2,1,erp,0,0,-0.00028285455726850817,0.0,100,True
2,1,erp,0,1,-0.0008014358779231401,0.0,100,True
2,1,erp,0,2,0.0018217872360987153,0.0,100,True
2,1,erp,0,3,-0.00047477764242875864,0.0,100,True
2,1,erp,0,4,-0.0005220429805854465,0.006172839506172811,100,True
2,1,erp,1,0,-0.0018376266709696498,0.0,100,True
2,1,erp,1,1,0.003782996262700289,0.0,100,True
2,1,erp,1,2,0.0023024249059532265,-0.0035885167464114742,100,True
2,1,erp,1,3,-0.004605900085670078,0.006024096385542244,100,True
2,1,erp,1,4,0.004337245559549063,0.0011933174224343368,100,True
2,1,erp,2,0,0.0011351567501253212,0.0,100,True
2,1,erp,2,1,-0.0001885241031027718,0.0,100,True
2,1,erp,2,2,-0.00026524703380415016,-0.0011961722488037507,100,True
2,1,erp,2,3,-0.0008087060814405689,-0.012048192771084265,100,True
2,1,erp,2,4,0.007523203362780229,0.0,100,True
2,1,erp,3,0,-0.005098346846442614,0.001210653753026647,100,True
2,1,erp,3,1,0.003647951036154451,0.0,100,True
2,1,erp,3,2,0.005128385090887866,0.004901388726806011,100,True
2,1,erp,3,3,0.0015529948032703134,-0.007223137152928216,100,True
2,1,erp,3,4,0.004602425970995139,0.006172839506172811,100,True
2,1,erp,4,0,0.009385285529223797,0.002421307506053294,100,True
2,1,erp,4,1,0.004459508529434997,0.0,100,True
2,1,erp,4,2,0.006258691859207355,0.009802777453611855,100,True
2,1,erp,4,3,0.0021225940083603456,0.010849152003698292,100,True
2,1,erp,4,4,0.00019099875827099932,0.007366156928607148,100,True
2,1,erp,5,0,-0.0011652568406387287,0.0,100,True
2,1,erp,5,1,0.006391579440578776,0.0,100,True
2,1,erp,5,2,0.002717671674741684,0.003705216478002149,100,True
2,1,erp,5,3,0.005195778598529377,-0.0011990407673860837,100,True
2,1,erp,5,4,0.0059072862482837385,0.0,100,True
2,1,erp,6,0,0.00037356467758753453,0.0,100,False
2,1,erp,6,1,-0.002892970464720035,0.0,100,False
2,1,erp,6,2,0.005244675983299807,0.007293733224413623,100,False
2,1,erp,6,3,9.340487865772129e-05,-0.007223137152928216,100,False
2,1,erp,6,4,0.0018585235981539716,0.007366156928607148,100,False
2,1,ssvep,0,0,-0.0021788832322848783,6.61157024793857e-05,100,True
2,1,ssvep,0,1,-0.0038896553483382945,-0.009478815599422319,100,True
2,1,ssvep,0,2,-1.5833406110998816e-05,-0.0038463814426888954,100,True
2,1,ssvep,0,3,0.00053720248651834,-0.002136752136752129,100,True
2,1,ssvep,0,4,-0.0018335737944202846,-0.004206433368681428,100,True
