frame_index,global_index,task,subject_id,session_id,event_label,fold,seed,purpose,group_count_before,selected_count
8750,8750,erp,11,1,NonTarget,0,0,train_geometry,1650,32
8804,8804,erp,11,1,Target,0,0,train_geometry,330,32
8839,8839,erp,11,1,Target,0,0,train_geometry,330,32
8865,8865,erp,11,1,Target,0,0,train_geometry,330,32
8883,8883,erp,11,1,NonTarget,0,0,train_geometry,1650,32
8884,8884,erp,11,1,NonTarget,0,0,train_geometry,1650,32
8938,8938,erp,11,1,Target,0,0,train_geometry,330,32
8982,8982,erp,11,1,Target,0,0,train_geometry,330,32
9003,9003,erp,11,1,Target,0,0,train_geometry,330,32
9011,9011,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9022,9022,erp,11,1,Target,0,0,train_geometry,330,32
9093,9093,erp,11,1,Target,0,0,train_geometry,330,32
9106,9106,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9181,9181,erp,11,1,Target,0,0,train_geometry,330,32
9190,9190,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9220,9220,erp,11,1,Target,0,0,train_geometry,330,32
9243,9243,erp,11,1,Target,0,0,train_geometry,330,32
9260,9260,erp,11,1,Target,0,0,train_geometry,330,32
9278,9278,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9293,9293,erp,11,1,Target,0,0,train_geometry,330,32
9326,9326,erp,11,1,Target,0,0,train_geometry,330,32
9352,9352,erp,11,1,Target,0,0,train_geometry,330,32
9524,9524,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9534,9534,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9540,9540,erp,11,1,Target,0,0,train_geometry,330,32
9565,9565,erp,11,1,Target,0,0,train_geometry,330,32
9570,9570,erp,11,1,Target,0,0,train_geometry,330,32
9605,9605,erp,11,1,Target,0,0,train_geometry,330,32
9654,9654,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9669,9669,erp,11,1,Target,0,0,train_geometry,330,32
9676,9676,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9693,9693,erp,11,1,Target,0,0,train_geometry,330,32
9698,9698,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9741,9741,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9753,9753,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9783,9783,erp,11,1,NonTarget,0,0,train_geometry,1650,32
9857,9857,erp,11,1,Target,0,0,train_geometry,330,32
9866,9866,erp,11,1,Target,0,0,train_geometry,330,32
9888,9888,erp,11,1,Target,0,0,train_geometry,330,32
9897,9897,erp,11,1,Target,0,0,train_geometry,330,32
