fold,seed,n_samples,geometry_projection_change_mean,geometry_projection_change_max,geometry_projection_relative_max,donor_Gperp_distance_before_mean,donor_Gperp_distance_after_mean,donor_Gperp_distance_decrease_mean,fraction_moved_toward_donor,source_Gperp_distance_increase_mean,task_geometry_margin_absolute_error_mean,task_geometry_margin_absolute_error_max,full_unprojected_geometry_change_mean,projected_geometry_change_mean,full_vs_projected_geometry_change_ratio,validity_pass
0,0,4096,9.465494166249755e-09,5.328013941152676e-08,5.328013941152676e-08,1.028975486755371,0.8389613628387451,0.1900140941143036,0.718017578125,0.19682419300079346,2.66614001986909e-08,2.384185791015625e-07,0.1707879602909088,2.66614001986909e-08,6405813.5,True
0,1,4096,1.899934787275015e-08,9.692504931990698e-08,9.692504931990698e-08,1.2752128839492798,1.0771738290786743,0.19803902506828308,0.732421875,0.21090833842754364,4.646589246704025e-08,2.4575624024691933e-07,0.3352845311164856,4.646589246704025e-08,7215712.5,True
1,0,4096,1.9626291702934395e-08,9.686026913868773e-08,9.039825243917221e-08,1.4353928565979004,1.167183518409729,0.26820939779281616,0.75537109375,0.2563348412513733,5.4739274446546915e-08,4.805480102731963e-07,0.4045778512954712,5.4739274446546915e-08,7390997.5,True
1,1,4096,1.3605876425515362e-08,7.542495694679019e-08,6.435097077428509e-08,1.2287921905517578,0.891718864440918,0.3370733857154846,0.768310546875,0.3415813148021698,3.378160684519571e-08,4.76837158203125e-07,0.25246965885162354,3.378160684519571e-08,7473583.5,True
2,0,4096,2.3283062589030123e-08,1.0925511872983407e-07,1.0925511872983407e-07,1.4560147523880005,1.2172203063964844,0.23879441618919373,0.765869140625,0.242309108376503,5.51547358895732e-08,4.915124804938387e-07,0.4200577735900879,5.51547358895732e-08,7615987.5,True
2,1,4096,3.294240968898521e-08,1.662919260070339e-07,1.0848923892581297e-07,1.83333420753479,1.3792028427124023,0.4541313350200653,0.826171875,0.4550480544567108,5.864940533228946e-08,4.7706993200336e-07,0.5539544820785522,5.864940533228946e-08,9445185.0,True
