benchmark,outer_fold,method_id,order,configuration,weight,discovery_BA,discovery_NLL,candidate_count,target_future_labels_used_for_fit,OUTER_TEST_USED
OpenBMI_MI_S1_to_S2,0,B_FBCSP,179,"{'bandset': 'full_4_40', 'pairs': 1, 'csp_regularization': 0.1, 'classifier': 'logistic', 'classifier_parameter': 0.1}",1.0,0.7255555555555556,0.6006632142587,210,False,False
OpenBMI_MI_S1_to_S2,0,B_DEEP_FBCSP_FUSION,73,"{'bandset': 'beta', 'pairs': 3, 'csp_regularization': 0.0, 'classifier': 'logistic', 'classifier_parameter': 0.03}",0.5,0.7944444444444445,0.44244283177156724,630,False,False
OpenBMI_MI_S1_to_S2,1,B_FBCSP,157,"{'bandset': 'mu_beta_8_32', 'pairs': 3, 'csp_regularization': 0.0, 'classifier': 'logistic', 'classifier_parameter': 0.03}",1.0,0.6533333333333333,0.6441708670070863,210,False,False
OpenBMI_MI_S1_to_S2,1,B_DEEP_FBCSP_FUSION,156,"{'bandset': 'mu_beta_8_32', 'pairs': 3, 'csp_regularization': 0.0, 'classifier': 'lda', 'classifier_parameter': 0.9}",0.25,0.7388888888888888,0.6363675107833362,630,False,False
OpenBMI_MI_S1_to_S2,2,B_FBCSP,93,"{'bandset': 'mu_beta_8_28', 'pairs': 1, 'csp_regularization': 0.1, 'classifier': 'lda', 'classifier_parameter': 0.9}",1.0,0.6433333333333333,1.2447724060506529,210,False,False
OpenBMI_MI_S1_to_S2,2,B_DEEP_FBCSP_FUSION,43,"{'bandset': 'beta', 'pairs': 1, 'csp_regularization': 0.0, 'classifier': 'lda', 'classifier_parameter': 0.5}",0.25,0.7911111111111111,0.4832343468262106,630,False,False
OpenBMI_MI_S1_to_S2,3,B_FBCSP,100,"{'bandset': 'mu_beta_8_28', 'pairs': 2, 'csp_regularization': 0.0, 'classifier': 'lda', 'classifier_parameter': 0.9}",1.0,0.6955555555555556,1.5681863769960707,210,False,False
OpenBMI_MI_S1_to_S2,3,B_DEEP_FBCSP_FUSION,173,"{'bandset': 'full_4_40', 'pairs': 1, 'csp_regularization': 0.0, 'classifier': 'logistic', 'classifier_parameter': 0.3}",0.25,0.8355555555555555,0.3841319259647837,630,False,False
OpenBMI_MI_S1_to_S2,4,B_FBCSP,107,"{'bandset': 'mu_beta_8_28', 'pairs': 2, 'csp_regularization': 0.1, 'classifier': 'lda', 'classifier_parameter': 0.9}",1.0,0.67,1.2361734311901447,210,False,False
OpenBMI_MI_S1_to_S2,4,B_DEEP_FBCSP_FUSION,136,"{'bandset': 'mu_beta_8_32', 'pairs': 1, 'csp_regularization': 0.1, 'classifier': 'logistic', 'classifier_parameter': 0.03}",0.25,0.7977777777777777,0.49001525805121854,630,False,False
