outer_fold,stage,candidate_order,configuration,discovery_BA,discovery_NLL,selected,training_losses,target_future_labels_used_for_fit,OUTER_TEST_USED
3,population_candidate,3,"{""epochs"": 12, ""lr"": 3e-05, ""strategy"": ""full""}",0.7949999999999999,0.3979790108278394,False,"[0.3852730686426163, 0.37932122216224673, 0.3727409429073334, 0.37202354922294617, 0.37305388669967654, 0.3699381304740906, 0.36411332144737246, 0.36335775046348573, 0.35486464323997496, 0.36145433139801025, 0.35612440543174745, 0.353840685582161]",False,False
3,target_adaptation_candidate,0,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",0.7975,0.41013561841100454,False,,False,False
3,target_adaptation_candidate,1,"{""augment"": false, ""epochs"": 24, ""lr"": 0.0003, ""strategy"": ""head""}",0.799375,0.40101012866944075,False,,False,False
3,target_adaptation_candidate,2,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""tail""}",0.80875,0.3975827116519213,True,,False,False
3,target_adaptation_candidate,3,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",0.808125,0.39081720262765884,False,,False,False
4,population_candidate,0,"{""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",0.8333333333333335,0.3582429140806198,False,[],False,False
4,population_candidate,1,"{""epochs"": 4, ""lr"": 0.0003, ""strategy"": ""tail""}",0.8366666666666667,0.3460059000386132,True,"[0.41303938437055127, 0.39444914118962693, 0.39081556050571087, 0.3882690146332364]",False,False
4,population_candidate,2,"{""epochs"": 4, ""lr"": 0.0001, ""strategy"": ""full""}",0.8355555555555556,0.34958599921729827,False,"[0.4131605348074896, 0.3922489908987091, 0.38461257256606324, 0.3791502695821995]",False,False
4,population_candidate,3,"{""epochs"": 12, ""lr"": 3e-05, ""strategy"": ""full""}",0.8327777777777778,0.35324958711862564,False,"[0.4251209645686483, 0.4024922517591522, 0.40174607183935745, 0.3957368199656231, 0.39438898487558455, 0.3933782431206688, 0.3847646907546846, 0.38653782302818657, 0.38240240021716565, 0.3826190678866986, 0.377316062387013, 0.37746761402074436]",False,False
4,target_adaptation_candidate,0,"{""augment"": false, ""epochs"": 0, ""lr"": 0.0, ""strategy"": ""frozen""}",0.8366666666666667,0.3460059000386132,False,,False,False
4,target_adaptation_candidate,1,"{""augment"": false, ""epochs"": 24, ""lr"": 0.0003, ""strategy"": ""head""}",0.8405555555555556,0.3463536823789279,False,,False,False
4,target_adaptation_candidate,2,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""tail""}",0.8438888888888889,0.3415859846605195,False,,False,False
4,target_adaptation_candidate,3,"{""augment"": false, ""epochs"": 8, ""lr"": 0.0001, ""strategy"": ""full""}",0.8544444444444443,0.3171090864472919,True,,False,False
