benchmark,outer_fold,method_id,configuration,discovery_BA,discovery_NLL,candidate_count,OUTER_TEST_USED,candidate_order
OpenBMI_MI_S1_to_S2,0,B_POPULATION_LINEAR,{'C': 0.0003},0.7766666666666667,0.502916422482783,10,False,
OpenBMI_MI_S1_to_S2,0,B_SUBJECT_LAST_LAYER,{'C': 0.003},0.7577777777777778,0.4976094430981143,10,False,2.0
OpenBMI_MI_S1_to_S2,0,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.7522222222222222,1.98920249276691,6,False,5.0
OpenBMI_MI_S1_to_S2,0,B_HISTORY_CALIBRATED,{'C': 0.01},0.7777777777777778,0.5359741498253496,5,False,0.0
OpenBMI_MI_S1_to_S2,0,B_SUPERVISED_COSINE_PROTO,{'temperature': 4.0},0.76,0.4986329451026726,6,False,3.0
OpenBMI_MI_S1_to_S2,0,B_SHRINKAGE_PROTO,"{'target_weight': 0.25, 'temperature': 0.5}",0.7711111111111111,2.17748264704105,16,False,0.0
OpenBMI_MI_S1_to_S2,0,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.1, 'target_weight': 0.4}",0.7855555555555556,0.46591270850004207,50,False,26.0
OpenBMI_MI_S1_to_S2,0,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.7, 'target_weight': 0.2}",0.7788888888888889,0.5077235959951211,30,False,20.0
OpenBMI_MI_S1_to_S2,1,B_POPULATION_LINEAR,{'C': 0.0003},0.7122222222222222,0.6118878875058145,10,False,
OpenBMI_MI_S1_to_S2,1,B_SUBJECT_LAST_LAYER,{'C': 0.1},0.7211111111111111,0.5895668192954274,10,False,5.0
OpenBMI_MI_S1_to_S2,1,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.7088888888888888,2.073536160919401,6,False,5.0
OpenBMI_MI_S1_to_S2,1,B_HISTORY_CALIBRATED,{'C': 0.1},0.7233333333333334,0.5421500386745546,5,False,1.0
OpenBMI_MI_S1_to_S2,1,B_SUPERVISED_COSINE_PROTO,{'temperature': 8.0},0.7077777777777778,0.5407430553404915,6,False,4.0
OpenBMI_MI_S1_to_S2,1,B_SHRINKAGE_PROTO,"{'target_weight': 0.5, 'temperature': 0.5}",0.72,2.226043512076022,16,False,4.0
OpenBMI_MI_S1_to_S2,1,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.1, 'target_weight': 0.4}",0.73,0.58276845790844,50,False,26.0
OpenBMI_MI_S1_to_S2,1,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.5, 'target_weight': 0.2}",0.7277777777777779,0.6250757896883385,30,False,15.0
OpenBMI_MI_S1_to_S2,2,B_POPULATION_LINEAR,{'C': 0.001},0.7555555555555556,0.5040196385753728,10,False,
OpenBMI_MI_S1_to_S2,2,B_SUBJECT_LAST_LAYER,{'C': 0.1},0.77,0.48589837285593634,10,False,5.0
OpenBMI_MI_S1_to_S2,2,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.7722222222222224,1.9844019810358684,6,False,5.0
OpenBMI_MI_S1_to_S2,2,B_HISTORY_CALIBRATED,{'C': 0.1},0.7744444444444444,0.48968500715851143,5,False,1.0
OpenBMI_MI_S1_to_S2,2,B_SUPERVISED_COSINE_PROTO,{'temperature': 8.0},0.7633333333333333,0.502282809298857,6,False,4.0
OpenBMI_MI_S1_to_S2,2,B_SHRINKAGE_PROTO,"{'target_weight': 0.75, 'temperature': 0.5}",0.77,1.3168697709439583,16,False,8.0
OpenBMI_MI_S1_to_S2,2,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.1, 'target_weight': 0.8}",0.7833333333333334,0.47740357646260456,50,False,28.0
