benchmark,method_id,outer_fold,subjects,mean_subject_BA,OUTER_TEST_USED,Delta_BA
OpenBMI_MI_S1_to_S2,MI_BACKBONE_FROZEN,0,11,0.8345454545454545,False,0.07454545454545457
OpenBMI_MI_S1_to_S2,MI_BACKBONE_FROZEN,1,11,0.8290909090909092,False,0.014545454545454528
OpenBMI_MI_S1_to_S2,MI_BACKBONE_FROZEN,2,11,0.8218181818181819,False,0.09818181818181819
OpenBMI_MI_S1_to_S2,MI_BACKBONE_FROZEN,3,11,0.8172727272727273,False,0.06727272727272725
OpenBMI_MI_S1_to_S2,MI_BACKBONE_FROZEN,4,10,0.8089999999999999,False,0.02400000000000001
OpenBMI_MI_S1_to_S2,MI_GENERIC_HISTORY_HEAD,0,11,0.8409090909090909,False,0.08090909090909092
OpenBMI_MI_S1_to_S2,MI_GENERIC_HISTORY_HEAD,1,11,0.8318181818181819,False,0.01727272727272727
OpenBMI_MI_S1_to_S2,MI_GENERIC_HISTORY_HEAD,2,11,0.8081818181818182,False,0.08454545454545456
OpenBMI_MI_S1_to_S2,MI_GENERIC_HISTORY_HEAD,3,11,0.8063636363636365,False,0.056363636363636345
OpenBMI_MI_S1_to_S2,MI_GENERIC_HISTORY_HEAD,4,10,0.806,False,0.020999999999999984
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,0,11,0.8372727272727274,False,0.07727272727272728
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,1,11,0.8227272727272728,False,0.008181818181818158
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,2,11,0.8245454545454546,False,0.10090909090909092
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,3,11,0.8081818181818182,False,0.05818181818181816
OpenBMI_MI_S1_to_S2,PERSIST_MI_SELECTIVE_HISTORY_HEAD,4,10,0.807,False,0.021999999999999985
