benchmark,method_id,subject_id,outer_fold,balanced_accuracy,accuracy,macro_f1,NLL,Brier,ECE,OUTER_TEST_USED,reference_method_id,reference_BA,delta_BA
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,31,4,0.8,0.8,0.7947454844006567,0.4369905367337278,0.1405736686341518,0.13936443496495485,False,B_HISTORY_FUSION_LDA,0.7,0.10000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,32,0,0.8,0.8,0.7933030177759405,0.406524207673584,0.13373453059477547,0.17506546375143472,False,B_HISTORY_FUSION_LDA,0.8899999999999999,-0.08999999999999986
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,33,0,0.92,0.92,0.92,0.1732378499161894,0.05009969227990358,0.09739531991381307,False,B_HISTORY_FUSION_LDA,0.9299999999999999,-0.009999999999999898
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,34,2,0.64,0.64,0.6043956043956044,0.74113961653054,0.259713832680393,0.22933471679687503,False,B_HISTORY_FUSION_LDA,0.62,0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,35,1,0.8,0.8,0.7916666666666667,0.5197469206029045,0.15675257407824578,0.20414166795049055,False,B_HISTORY_FUSION_LDA,0.79,0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,36,0,0.98,0.98,0.98,0.07737326074115164,0.01725454076157974,0.044320664603187336,False,B_HISTORY_FUSION_LDA,0.98,0.0
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,37,4,0.96,0.96,0.96,0.14604370356254398,0.034640503293509234,0.10377725735306739,False,B_HISTORY_FUSION_LDA,0.97,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,38,3,0.71,0.71,0.7033248081841432,0.5697682490186061,0.19271812112326817,0.1314604900032282,False,B_HISTORY_FUSION_LDA,0.68,0.029999999999999916
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,39,4,0.8300000000000001,0.83,0.8295739348370927,0.4092588622293477,0.12527130842312764,0.10879186796024443,False,B_HISTORY_FUSION_LDA,0.8400000000000001,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,4,2,0.56,0.56,0.5024875621890548,0.8025812041906011,0.2872404899190803,0.2367889712005854,False,B_HISTORY_FUSION_LDA,0.6,-0.039999999999999925
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,40,0,0.6599999999999999,0.66,0.6263736263736264,0.7003198049922562,0.23176920472828877,0.23053171414358573,False,B_HISTORY_FUSION_LDA,0.69,-0.030000000000000027
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,41,3,0.69,0.69,0.6874684948079444,0.5626904611635055,0.19083968953407446,0.13783310696482656,False,B_HISTORY_FUSION_LDA,0.74,-0.050000000000000044
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,42,1,0.75,0.75,0.7469379491851402,0.5696117859904352,0.18692844746493872,0.1606915194058753,False,B_HISTORY_FUSION_LDA,0.73,0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,43,1,0.75,0.75,0.7406369955389562,0.5192963574228697,0.1686486951939112,0.1851622077958926,False,B_HISTORY_FUSION_LDA,0.75,0.0
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,44,2,0.9099999999999999,0.91,0.9095568284594513,0.27295858709499404,0.07343430107367807,0.1253689952194691,False,B_HISTORY_FUSION_LDA,0.91,-1.1102230246251565e-16
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,45,1,0.88,0.88,0.8798076923076923,0.32471888446472774,0.09901119599195077,0.13077870129068914,False,B_HISTORY_FUSION_LDA,0.86,0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,46,3,0.77,0.77,0.7660461804495982,0.49347643760012244,0.1620030436914127,0.1260952453315258,False,B_HISTORY_FUSION_LDA,0.78,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,47,0,0.78,0.78,0.7708333333333333,0.4241051140846541,0.1328444420617299,0.21642635040398794,False,B_HISTORY_FUSION_LDA,0.76,0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,48,1,0.48,0.48,0.4025735294117647,1.3190987548708066,0.3842854741798395,0.3921345458174352,False,B_HISTORY_FUSION_LDA,0.5599999999999999,-0.07999999999999996
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,49,4,0.67,0.67,0.648,0.7402089311295803,0.2429897380917834,0.24773273184895517,False,B_HISTORY_FUSION_LDA,0.62,0.050000000000000044
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,5,1,0.88,0.88,0.8782467532467533,0.4243389580528789,0.11481577646669383,0.1327138964118482,False,B_HISTORY_FUSION_LDA,0.88,0.0
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,50,0,0.64,0.64,0.6279454319966928,0.6485341813301756,0.22681460294690148,0.16356740385584717,False,B_HISTORY_FUSION_LDA,0.6000000000000001,0.039999999999999925
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,51,2,0.5800000000000001,0.58,0.5793269230769231,0.710473658668375,0.25515243080916705,0.1941191866248846,False,B_HISTORY_FUSION_LDA,0.54,0.040000000000000036
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,52,2,0.67,0.67,0.66996699669967,0.647043692423089,0.22457777969511056,0.20673351645469668,False,B_HISTORY_FUSION_LDA,0.6799999999999999,-0.009999999999999898
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,53,0,0.74,0.74,0.7398959583833533,0.4941819602290819,0.16316579088348646,0.08576015676473048,False,B_HISTORY_FUSION_LDA,0.76,-0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,54,2,0.69,0.69,0.6897207486738064,0.6272892707230515,0.21599809570455406,0.1322558978945017,False,B_HISTORY_FUSION_LDA,0.71,-0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,6,1,0.83,0.83,0.8279178054458953,0.4662130106373848,0.1315073613726234,0.13244763260319378,False,B_HISTORY_FUSION_LDA,0.88,-0.050000000000000044
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,7,2,0.73,0.73,0.7297567811029927,0.577835876158581,0.1967359391731135,0.11022972702980043,False,B_HISTORY_FUSION_LDA,0.77,-0.040000000000000036
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,8,4,0.79,0.79,0.7894736842105263,0.44381557207229166,0.1390667110174993,0.12815333608537915,False,B_HISTORY_FUSION_LDA,0.8600000000000001,-0.07000000000000006
OpenBMI_MI_S1_to_S2,A_GENERIC_AFFINE,9,3,0.76,0.76,0.7552019583843329,0.5671980034145795,0.18263969697882979,0.16258134640753272,False,B_HISTORY_FUSION_LDA,0.77,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,1,1,0.8,0.8,0.7947454844006567,0.5042307199242504,0.15524159088954853,0.16671079131774605,False,B_HISTORY_FUSION_LDA,0.76,0.040000000000000036
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,10,1,0.78,0.78,0.7777777777777778,0.5055421400474668,0.16170337840312052,0.1266808076761663,False,B_HISTORY_FUSION_LDA,0.8,-0.020000000000000018
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,11,4,0.65,0.65,0.6496847162446202,0.7839624997373197,0.25496377616812077,0.20498740626499057,False,B_HISTORY_FUSION_LDA,0.6499999999999999,1.1102230246251565e-16
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,12,4,0.78,0.78,0.779205138498595,0.4723154041322698,0.15540876317723154,0.11150302892550827,False,B_HISTORY_FUSION_LDA,0.7,0.08000000000000007
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,13,0,0.55,0.55,0.4357366771159875,0.946483259750199,0.3278544459596355,0.32633793728244714,False,B_HISTORY_FUSION_LDA,0.56,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,14,0,0.66,0.66,0.6353496353496353,0.7633876013775392,0.24142614391924558,0.22874707619701884,False,B_HISTORY_FUSION_LDA,0.7,-0.039999999999999925
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,15,3,0.54,0.54,0.45238095238095233,0.7609546325833922,0.2766529354757624,0.29748422641918343,False,B_HISTORY_FUSION_LDA,0.55,-0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,16,1,0.96,0.96,0.959983993597439,0.13804866147113118,0.035297919845740315,0.05016615107655524,False,B_HISTORY_FUSION_LDA,0.95,0.010000000000000009
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,17,3,0.55,0.55,0.5021573182874212,0.7883209409772818,0.27746053009944155,0.2378271552041638,False,B_HISTORY_FUSION_LDA,0.55,0.0
OpenBMI_MI_S1_to_S2,A_GENERIC_BILINEAR,18,2,0.86,0.86,0.859775641025641,0.3998827599812934,0.12206008860581222,0.10284883938729766,False,B_HISTORY_FUSION_LDA,0.8300000000000001,0.029999999999999916
