benchmark,outer_fold,dimension,protected_importance,random_control_importance,OUTER_TEST_USED
WBCIC_S1S2_to_S3_authorized_development,0,0,0.15632754342431762,0.5037220843672456,False
WBCIC_S1S2_to_S3_authorized_development,0,1,0.5037220843672456,0.6526054590570719,False
WBCIC_S1S2_to_S3_authorized_development,0,2,0.6526054590570719,0.8511166253101736,False
WBCIC_S1S2_to_S3_authorized_development,0,3,0.0,0.45409429280397023,False
WBCIC_S1S2_to_S3_authorized_development,0,4,0.0,0.7518610421836229,False
WBCIC_S1S2_to_S3_authorized_development,0,5,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,6,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,7,0.9007444168734491,0.007444168734491377,False
WBCIC_S1S2_to_S3_authorized_development,0,8,0.0,0.5533498759305212,False
WBCIC_S1S2_to_S3_authorized_development,0,9,0.0,0.2555831265508685,False
WBCIC_S1S2_to_S3_authorized_development,0,10,0.8511166253101736,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,11,0.35483870967741943,0.10669975186104223,False
WBCIC_S1S2_to_S3_authorized_development,0,12,0.2555831265508685,0.6029776674937966,False
WBCIC_S1S2_to_S3_authorized_development,0,13,1.0,0.40446650124069483,False
WBCIC_S1S2_to_S3_authorized_development,0,14,0.0,0.2059553349875931,False
WBCIC_S1S2_to_S3_authorized_development,0,15,0.5533498759305212,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,16,0.8014888337468983,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,17,0.30521091811414386,1.0,False
WBCIC_S1S2_to_S3_authorized_development,0,18,0.2059553349875931,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,19,0.007444168734491377,0.9007444168734491,False
WBCIC_S1S2_to_S3_authorized_development,0,20,0.45409429280397023,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,21,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,22,0.40446650124069483,0.8014888337468983,False
WBCIC_S1S2_to_S3_authorized_development,0,23,0.6029776674937966,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,24,0.0,0.35483870967741943,False
WBCIC_S1S2_to_S3_authorized_development,0,25,0.7518610421836229,0.9503722084367247,False
WBCIC_S1S2_to_S3_authorized_development,0,26,0.9503722084367247,0.05707196029776677,False
WBCIC_S1S2_to_S3_authorized_development,0,27,0.10669975186104223,0.7022332506203474,False
WBCIC_S1S2_to_S3_authorized_development,0,28,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,29,0.05707196029776677,0.15632754342431762,False
WBCIC_S1S2_to_S3_authorized_development,0,30,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,0,31,0.7022332506203474,0.30521091811414386,False
WBCIC_S1S2_to_S3_authorized_development,1,0,0.0,0.6029776674937966,False
WBCIC_S1S2_to_S3_authorized_development,1,1,0.0,0.9503722084367247,False
WBCIC_S1S2_to_S3_authorized_development,1,2,0.9503722084367247,0.40446650124069483,False
WBCIC_S1S2_to_S3_authorized_development,1,3,0.8511166253101736,0.5037220843672456,False
WBCIC_S1S2_to_S3_authorized_development,1,4,0.0,0.2059553349875931,False
WBCIC_S1S2_to_S3_authorized_development,1,5,0.0,0.05707196029776677,False
WBCIC_S1S2_to_S3_authorized_development,1,6,0.15632754342431762,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,7,0.2555831265508685,0.30521091811414386,False
WBCIC_S1S2_to_S3_authorized_development,1,8,0.10669975186104223,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,9,0.0,0.8014888337468983,False
WBCIC_S1S2_to_S3_authorized_development,1,10,0.2059553349875931,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,11,0.9007444168734491,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,12,0.6029776674937966,0.7518610421836229,False
WBCIC_S1S2_to_S3_authorized_development,1,13,0.7518610421836229,1.0,False
WBCIC_S1S2_to_S3_authorized_development,1,14,0.5037220843672456,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,15,0.7022332506203474,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,16,0.35483870967741943,0.35483870967741943,False
WBCIC_S1S2_to_S3_authorized_development,1,17,0.0,0.6526054590570719,False
WBCIC_S1S2_to_S3_authorized_development,1,18,0.0,0.007444168734491377,False
WBCIC_S1S2_to_S3_authorized_development,1,19,0.007444168734491377,0.10669975186104223,False
WBCIC_S1S2_to_S3_authorized_development,1,20,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,21,0.05707196029776677,0.8511166253101736,False
WBCIC_S1S2_to_S3_authorized_development,1,22,0.5533498759305212,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,23,0.40446650124069483,0.5533498759305212,False
WBCIC_S1S2_to_S3_authorized_development,1,24,0.6526054590570719,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,25,0.45409429280397023,0.7022332506203474,False
WBCIC_S1S2_to_S3_authorized_development,1,26,1.0,0.2555831265508685,False
WBCIC_S1S2_to_S3_authorized_development,1,27,0.8014888337468983,0.15632754342431762,False
WBCIC_S1S2_to_S3_authorized_development,1,28,0.30521091811414386,0.45409429280397023,False
WBCIC_S1S2_to_S3_authorized_development,1,29,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,30,0.0,0.0,False
WBCIC_S1S2_to_S3_authorized_development,1,31,0.0,0.9007444168734491,False
