outer_fold,subject_id,seed,adaptation,OUTER_TEST_USED
0,sub-1,1163826028,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-3,2717788318,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-5,3689427289,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-16,2818357289,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-19,15210116,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-21,4091525882,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-28,910139419,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-33,1809014394,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
0,sub-37,974155329,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
1,sub-2,3154956913,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-11,2802924416,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-13,1981817130,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-18,610783965,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-27,142768961,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-36,537253397,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-44,3679730401,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
1,sub-45,3772934635,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
2,sub-9,2769076418,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-22,1125810381,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-25,3635710123,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-26,1138909104,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-29,3282047485,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-34,2672093667,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-35,393095473,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
2,sub-49,2122655457,"{'strategy': 'frozen', 'lr': 0.0, 'epochs': 0, 'augment': False}",False
3,sub-6,2671266367,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-23,2440869984,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-24,3230167608,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-30,485109128,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-31,2184522533,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-38,1764718571,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-41,43940299,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
3,sub-42,2665016702,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-7,3882205314,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-12,641403456,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-14,250668439,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-17,12661640,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-32,622670696,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-47,34417338,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-48,3568357690,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
4,sub-50,3189215804,"{'strategy': 'full', 'lr': 0.0001, 'epochs': 8, 'augment': False}",False
