benchmark,outer_fold,method_id,configuration,discovery_BA,discovery_NLL,candidate_count,OUTER_TEST_USED,candidate_order
WBCIC_S1S2_to_S3_authorized_development,0,B_POPULATION_LINEAR,{'C': 0.3},0.785,0.393339779550375,10,False,
WBCIC_S1S2_to_S3_authorized_development,0,B_EEGNET_FROZEN_HEAD,{'frozen': True},,,1,False,
WBCIC_S1S2_to_S3_authorized_development,0,B_SUBJECT_LAST_LAYER,{'C': 0.1},0.7849999999999999,0.39783753484900664,10,False,5.0
WBCIC_S1S2_to_S3_authorized_development,0,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.3},0.78,0.40522965556010604,6,False,2.0
WBCIC_S1S2_to_S3_authorized_development,0,B_HISTORY_CALIBRATED,{'C': 0.01},0.78625,0.4071830689514182,5,False,0.0
WBCIC_S1S2_to_S3_authorized_development,0,B_SUPERVISED_COSINE_PROTO,{'temperature': 4.0},0.7675,0.41101556867012456,6,False,3.0
WBCIC_S1S2_to_S3_authorized_development,0,B_SHRINKAGE_PROTO,"{'target_weight': 0.5, 'temperature': 0.5}",0.7775,0.4416409084669799,16,False,4.0
WBCIC_S1S2_to_S3_authorized_development,0,B_HISTORY_FUSION_LOGISTIC,"{'C': 1.0, 'target_weight': 0.4}",0.7925,0.39129985406863754,50,False,36.0
WBCIC_S1S2_to_S3_authorized_development,0,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.5, 'target_weight': 0.4}",0.79125,0.39123425942009254,30,False,16.0
WBCIC_S1S2_to_S3_authorized_development,1,B_POPULATION_LINEAR,{'C': 10.0},0.825625,0.35631088917404685,10,False,
WBCIC_S1S2_to_S3_authorized_development,1,B_EEGNET_FROZEN_HEAD,{'frozen': True},,,1,False,
WBCIC_S1S2_to_S3_authorized_development,1,B_SUBJECT_LAST_LAYER,{'C': 0.01},0.825625,0.36432010537959714,10,False,3.0
WBCIC_S1S2_to_S3_authorized_development,1,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.825625,0.6152653954923153,6,False,5.0
WBCIC_S1S2_to_S3_authorized_development,1,B_HISTORY_CALIBRATED,{'C': 0.01},0.825625,0.35258607991052554,5,False,0.0
WBCIC_S1S2_to_S3_authorized_development,1,B_SUPERVISED_COSINE_PROTO,{'temperature': 4.0},0.8262499999999999,0.3509421196352719,6,False,3.0
WBCIC_S1S2_to_S3_authorized_development,1,B_SHRINKAGE_PROTO,"{'target_weight': 1.0, 'temperature': 0.5}",0.823125,0.4640075449403468,16,False,12.0
WBCIC_S1S2_to_S3_authorized_development,1,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.3, 'target_weight': 0.8}",0.8306250000000001,0.3568992221860762,50,False,33.0
WBCIC_S1S2_to_S3_authorized_development,1,B_HISTORY_FUSION_LDA,"{'shrinkage': 'auto', 'target_weight': 0.4}",0.83,0.3576045103105796,30,False,1.0
WBCIC_S1S2_to_S3_authorized_development,2,B_POPULATION_LINEAR,{'C': 0.01},0.7822222222222223,0.3873117835062714,10,False,
WBCIC_S1S2_to_S3_authorized_development,2,B_EEGNET_FROZEN_HEAD,{'frozen': True},,,1,False,
WBCIC_S1S2_to_S3_authorized_development,2,B_SUBJECT_LAST_LAYER,{'C': 0.001},0.7872932449494949,0.4831490654668396,10,False,1.0
WBCIC_S1S2_to_S3_authorized_development,2,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.7816682449494949,0.8122520055621862,6,False,5.0
WBCIC_S1S2_to_S3_authorized_development,2,B_HISTORY_CALIBRATED,{'C': 0.1},0.7828535353535353,0.3918628865190511,5,False,1.0
WBCIC_S1S2_to_S3_authorized_development,2,B_SUPERVISED_COSINE_PROTO,{'temperature': 4.0},0.784168244949495,0.4015881367951922,6,False,3.0
WBCIC_S1S2_to_S3_authorized_development,2,B_SHRINKAGE_PROTO,"{'target_weight': 0.75, 'temperature': 0.5}",0.790418244949495,0.5123480770235388,16,False,8.0
WBCIC_S1S2_to_S3_authorized_development,2,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.001, 'target_weight': 1.0}",0.7872932449494949,0.4831490654668396,50,False,9.0
WBCIC_S1S2_to_S3_authorized_development,2,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.7, 'target_weight': 0.8}",0.7841942866161616,0.6376956851545874,30,False,23.0
WBCIC_S1S2_to_S3_authorized_development,3,B_POPULATION_LINEAR,{'C': 0.003},0.798125,0.4030229727174604,10,False,
WBCIC_S1S2_to_S3_authorized_development,3,B_EEGNET_FROZEN_HEAD,{'frozen': True},,,1,False,
WBCIC_S1S2_to_S3_authorized_development,3,B_SUBJECT_LAST_LAYER,{'C': 0.003},0.789375,0.47449013372380044,10,False,2.0
WBCIC_S1S2_to_S3_authorized_development,3,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.3},0.788125,0.4331240803003311,6,False,2.0
WBCIC_S1S2_to_S3_authorized_development,3,B_HISTORY_CALIBRATED,{'C': 1.0},0.7987500000000001,0.3969953721192527,5,False,2.0
WBCIC_S1S2_to_S3_authorized_development,3,B_SUPERVISED_COSINE_PROTO,{'temperature': 4.0},0.78,0.4139509775671223,6,False,3.0
WBCIC_S1S2_to_S3_authorized_development,3,B_SHRINKAGE_PROTO,"{'target_weight': 0.25, 'temperature': 0.5}",0.7987500000000001,0.450580868345731,16,False,0.0
WBCIC_S1S2_to_S3_authorized_development,3,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.0003, 'target_weight': 0.2}",0.799375,0.4025044577475162,50,False,0.0
WBCIC_S1S2_to_S3_authorized_development,3,B_HISTORY_FUSION_LDA,"{'shrinkage': 'auto', 'target_weight': 0.4}",0.7975000000000001,0.3986214732322634,30,False,1.0
WBCIC_S1S2_to_S3_authorized_development,4,B_POPULATION_LINEAR,{'C': 0.01},0.8305555555555555,0.34980735227506604,10,False,
WBCIC_S1S2_to_S3_authorized_development,4,B_EEGNET_FROZEN_HEAD,{'frozen': True},,,1,False,
WBCIC_S1S2_to_S3_authorized_development,4,B_SUBJECT_LAST_LAYER,{'C': 0.0003},0.8461111111111111,0.5664582994100482,10,False,0.0
WBCIC_S1S2_to_S3_authorized_development,4,B_SUBJECT_SHRINKAGE_LDA,{'shrinkage': 0.9},0.8427777777777777,0.7808532896969054,6,False,5.0
WBCIC_S1S2_to_S3_authorized_development,4,B_HISTORY_CALIBRATED,{'C': 0.01},0.8294444444444444,0.3501807057352047,5,False,0.0
WBCIC_S1S2_to_S3_authorized_development,4,B_SUPERVISED_COSINE_PROTO,{'temperature': 4.0},0.8455555555555555,0.3488846215873773,6,False,3.0
WBCIC_S1S2_to_S3_authorized_development,4,B_SHRINKAGE_PROTO,"{'target_weight': 1.0, 'temperature': 0.5}",0.8461111111111111,0.5748305807925393,16,False,12.0
WBCIC_S1S2_to_S3_authorized_development,4,B_HISTORY_FUSION_LOGISTIC,"{'C': 0.0003, 'target_weight': 1.0}",0.8461111111111111,0.5664582994100482,50,False,4.0
WBCIC_S1S2_to_S3_authorized_development,4,B_HISTORY_FUSION_LDA,"{'shrinkage': 0.9, 'target_weight': 0.6}",0.8455555555555556,0.5657348339447443,30,False,27.0
